-13	-94	-104	-52	-52	-89	-89	-383	-170	-81	-67	-148	-412	-45	-185	-177	-45	13	156	149	183	223	404	430	429	-125	-53	163	-123	-15	-198	-140	
-67	22	-59	-177	-339	-244	-126	-413	-184	-538	-552	-494	-913	-59	-346	-140	-162	69	224	284	292	383	163	350	309	17	-15	54	51	3	-132	6	
8	18	-74	-163	-323	-253	-413	-552	-479	-464	-1564	-361	-1352	-324	-909	-23	-48	129	77	317	382	811	550	498	447	128	180	-74	-154	-80	-62	-44	
-7	17	-89	-192	-209	-30	-369	-903	-1594	-1174	-1328	-471	-1931	-140	-909	-272	-133	354	983	527	1479	2000	1514	473	453	197	-8	-374	-182	-15	-86	-5	
-30	-89	-177	-236	-178	-216	-479	-495	-2143	-1299	-2504	-1516	-2307	-375	-1331	-23	207	1210	1467	2164	2464	2947	2387	1010	750	-96	-110	-147	-36	51	-44	25	
-176	-163	-45	-104	-244	-411	-849	-1656	-3147	-2867	-3726	-2488	-2777	-896	-1770	103	112	559	1299	2164	2185	3412	3835	1846	1789	180	180	113	137	85	101	116	
-332	-246	-91	-162	-320	-332	-1461	-2863	-3915	-3306	-3867	-1877	-2715	-943	-1738	17	18	172	946	1420	2278	3635	4244	2384	2846	295	446	283	145	22	-22	24	
-347	-222	-185	-403	-916	-560	-3234	-4102	-3742	-2020	-2661	-537	-1555	-368	-721	146	-228	177	543	499	1349	3115	4411	3331	3533	1630	549	283	133	35	-66	25	
-347	-281	-325	-347	-1748	-1786	-3845	-4698	-3648	-1472	-2002	-353	-898	-324	-233	328	-326	-47	-8	189	189	2130	3557	2625	4609	2428	891	180	223	51	15	68	
-301	-229	-89	-1181	-2219	-3873	-5446	-4353	-2692	-1095	-1046	0	-162	-45	-214	-42	-529	-399	-637	77	-323	697	1793	2347	4071	4096	3245	1829	1118	385	177	111	
-391	-362	-398	-1636	-2815	-5129	-6669	-3506	-1782	-312	-574	147	384	1156	259	250	-1014	-382	-1356	-81	-1094	77	275	2180	3904	4504	4932	2199	1988	214	197	68	
-273	-428	-829	-2186	-4040	-5521	-6434	-2597	-1312	138	164	714	397	3600	1144	-52	-1124	-177	-3123	-1201	-1547	-404	-147	955	2995	5079	5321	2255	2044	300	300	-52	
-196	-258	-1081	-2955	-5060	-6776	-6512	-2393	-258	181	467	2039	1912	4365	2952	-52	-1374	-691	-4641	-2640	-1985	-551	-573	378	2067	4727	6452	3385	3229	214	145	50	
-229	-421	-1410	-3018	-5970	-7231	-6073	-903	-74	714	1091	2618	3797	6547	3549	172	-998	-2986	-5892	-4563	-2736	-1012	-1180	249	1381	4300	7267	4515	4377	855	180	188	
-148	-450	-1175	-3724	-6818	-8141	-5383	-405	-67	1424	1446	3327	4805	6734	3493	250	-1452	-2986	-7206	-5173	-3627	-1215	-914	111	898	4022	8361	5015	4710	1410	284	182	
-332	-985	-1379	-3724	-6315	-8298	-4661	-236	69	1798	1334	2805	5514	6640	3213	414	-1358	-3237	-7049	-5173	-3080	-1105	-1586	163	1548	3763	8176	4237	3562	1373	783	222	
-133	-1048	-1175	-3363	-6535	-8063	-5508	-589	-273	1144	1334	2693	5477	6099	2933	371	-1358	-3299	-6189	-4407	-3048	-840	-1414	430	1715	4115	7842	4385	3303	1225	839	782	
-273	-718	-594	-2735	-5640	-7184	-5869	-778	-449	770	512	1703	3573	4271	2449	423	-1468	-2705	-4719	-3484	-2392	-230	-289	-74	1900	4356	7471	4089	3118	1558	783	505	
-347	-524	-547	-2013	-4667	-6855	-5995	-1546	-538	415	-81	919	1912	2910	1069	595	-1139	-2454	-3624	-1701	-1860	-111	-103	-30	2494	4263	7342	3626	2877	1244	672	325	
-369	-487	-735	-2139	-3066	-5427	-6057	-2958	-2284	-23	8	320	268	1921	527	310	-983	-499	-1997	-463	-500	525	206	301	3588	4245	5284	2125	1303	96	420	239	
-369	-458	-1222	-1542	-2046	-4815	-6026	-3820	-2488	-280	-170	77	-111	970	172	-22	-1077	-147	-1387	-45	-118	731	103	472	3570	4653	4895	976	463	411	0	-140	
-276	-273	-222	-487	-853	-2555	-4567	-4416	-2911	-1817	-1595	60	-1007	164	-846	509	-764	-103	-118	344	542	2018	1235	1697	4275	3744	2930	847	468	463	-432	-136	
-126	-133	-176	-251	-207	-657	-3469	-4118	-4056	-2804	-2958	-1313	-1853	-383	-1582	345	-397	276	94	1346	1293	3784	2424	2811	4219	2576	790	274	102	265	-104	-99	
-55	-89	-96	60	17	156	-1681	-3663	-4150	-2741	-3805	-1736	-2558	-771	-1942	164	-155	1918	369	2034	2631	4025	3538	3590	3514	555	34	-447	-698	102	-359	-125	
69	-7	8	191	60	-38	-739	-2942	-3883	-2538	-3726	-1814	-2918	-473	-1864	276	103	2550	1188	3094	3430	3765	3427	2848	2086	395	-308	-425	-402	-30	-170	-204	
52	-15	147	38	88	-114	-473	-1750	-2535	-2287	-3444	-2566	-2480	-896	-1253	362	207	1136	1374	2852	2594	3672	1978	1883	824	464	-257	257	-64	-82	-124	-88	
77	56	34	-49	-118	-125	-192	-872	-1892	-1691	-1955	-1720	-1994	-317	-1034	-103	-30	578	750	1699	1776	3078	1273	1400	283	223	-22	-37	-279	-116	-154	-134	
80	8	-20	-148	-155	-74	-183	-413	-530	-954	-670	-984	-1696	-111	-611	-160	43	476	465	465	1125	1424	550	1029	137	0	-151	-103	-542	-233	-191	-52	
113	-59	-180	-193	-236	-187	-52	-126	-494	-449	-388	-482	-1039	-192	-470	-206	-125	154	258	215	465	811	327	68	196	-41	-188	-337	-238	-208	-67	205	
