-171	-76	-60	-74	-815	-990	-429	-370	-339	-303	244	-89	-144	119	202	54	17	118	234	142	-133	-127	-160	-361	-214	
-162	-123	-58	-267	-548	-1242	-521	-392	-355	-811	418	-163	-109	-30	174	274	539	200	373	347	182	-31	-45	-224	-214	
-136	-88	-113	-215	-516	-1321	-946	-400	-338	-952	-252	-156	-96	-89	243	330	955	426	360	243	1178	292	-74	-119	-23	
-145	-76	-90	-193	-503	-1778	-1183	-1060	-1047	-1188	-318	-104	8	130	496	539	1105	378	399	460	1572	95	-17	69	10	
-93	-95	-74	122	-1572	-1605	-2065	-2084	-1173	-1550	-407	-434	34	-15	592	661	2608	1204	869	976	1778	190	69	173	-42	
-129	-137	-215	-415	-2045	-2975	-3262	-2415	-1976	-1236	-540	-288	296	229	813	883	2833	1579	1620	1464	2847	60	433	203	130	
-184	-126	105	-1691	-2691	-4204	-4365	-2824	-1598	-591	61	-473	435	225	409	200	3096	1861	3327	2720	3353	408	1187	421	104	
-335	-288	-304	-2353	-3400	-4677	-4617	-2730	-1409	-333	314	-12	218	-170	296	-421	2063	1448	4134	3489	4665	1183	1374	190	70	
-292	-345	-467	-3110	-5638	-5922	-3908	-1517	-638	-163	1285	364	619	-362	-227	-1015	842	59	4378	4802	5864	2812	2516	577	164	
-270	-275	-1617	-4292	-6537	-5512	-3057	-1612	-156	130	1680	-434	-32	-694	174	-1313	269	0	3946	4520	6670	3581	2535	1250	199	
-328	-840	-2358	-5727	-6820	-4961	-1309	-385	297	200	2113	-340	-247	-399	87	-1172	17	-148	1620	5214	8133	4648	3883	1438	970	
-302	-817	-2973	-6783	-6789	-4914	-355	-52	629	-89	1737	306	174	-741	52	-1565	8	-472	757	4108	8451	5829	3902	1737	746	
-459	-530	-3005	-6294	-7640	-4693	-37	-89	259	-141	701	172	-8	-772	-74	-1298	34	-241	391	2795	8489	5791	3359	2729	727	
-439	-373	-3194	-6893	-8223	-4457	87	-207	50	-259	1172	-311	-200	-788	-207	-1235	17	-92	226	2401	8826	6110	3471	1887	989	
-465	-609	-2894	-7177	-7561	-4898	-215	26	-15	-281	473	-340	-318	-788	-297	-251	-52	174	1038	2833	8264	5829	3677	1531	338	
-551	-718	-2500	-6137	-6836	-4898	-600	-326	148	-401	15	-124	-293	-409	60	-155	243	542	1545	2758	8245	5135	3415	1026	234	
-374	-894	-1775	-4529	-6694	-4472	-1309	-541	-318	-795	-218	-325	-282	-185	48	-89	374	208	2577	3883	7233	4555	3003	450	190	
-340	-706	-1412	-2984	-6017	-5481	-1702	-1580	-82	-1141	-431	-407	-298	-26	71	-60	1068	697	3308	3620	5939	3019	2460	485	303	
-210	-745	-955	-2337	-3857	-4598	-3246	-2368	-459	-1881	43	-237	8	78	322	269	1969	1973	4115	3845	4327	2382	737	190	372	
-237	-379	-222	-1581	-2754	-4047	-2994	-2746	-606	-2400	-141	-70	409	462	521	583	2702	2687	4434	3583	3409	1464	924	428	256	
-151	224	60	-67	-1556	-2534	-2884	-2604	-905	-2322	-200	-7	220	174	719	583	2495	2536	3346	2120	1403	147	156	156	164	
-221	48	93	113	-392	-1384	-1923	-1958	-1267	-2196	-488	-296	305	374	700	417	2195	2124	2971	920	425	-104	-37	-96	-155	
-145	-118	-14	-82	-237	-643	-962	-1060	-1771	-1645	-736	34	158	209	165	639	711	1072	1076	260	-15	-553	-96	-126	-140	
-214	4	-41	-126	-127	-134	-710	-194	-1031	-1566	-399	139	135	139	252	403	321	828	260	-15	-161	-234	-23	-111	-162	
-182	-157	-28	-30	-8	-147	-363	-400	-717	-952	-451	-56	104	122	261	400	43	278	217	-7	-146	-199	-55	-133	-185	
