-113	-70	-56	-63	-207	-241	-325	-280	-214	-55	18	32	99	95	-14	-153	
-141	-21	-7	-97	-166	-241	-369	-311	-193	-68	48	240	231	55	39	-158	
117	0	325	-84	-97	-186	-702	-239	-177	-449	209	480	1063	111	47	-193	
151	67	116	42	-21	-69	-601	-458	-889	-835	289	887	1147	158	379	-166	
114	16	74	20	-98	-348	-1196	-1112	-1665	-864	128	938	605	732	392	-206	
47	-133	8	-77	-96	-83	-1370	-512	-1176	-406	265	733	385	79	106	-60	
151	-1	-28	-167	-125	287	-240	73	-75	-244	48	296	-61	-121	15	-67	
5	-142	-181	-250	-104	386	245	1038	1267	-68	-331	-88	-1004	-294	-546	70	
-134	-391	-496	-513	-258	882	1324	2016	2153	145	-886	-1438	-2019	-1444	-1021	-179	
-480	-510	-807	-561	106	1554	2009	4130	2656	298	-801	-2897	-3273	-2411	-1592	-438	
-323	-776	-807	-589	-311	1748	2888	3886	3507	998	-587	-3137	-3723	-2747	-1606	-153	
-288	-342	-407	-164	-318	1465	2343	2960	2969	619	-601	-2259	-3258	-3056	-1634	181	
-190	-252	-292	-264	-359	148	1447	1824	1562	-158	-196	-1296	-2061	-1794	-881	267	
-169	-182	-188	-223	-419	-179	311	448	170	-48	-203	-574	-624	-700	-134	135	
176	293	91	-21	-304	-427	-247	-185	-831	0	-56	16	239	373	292	354	
58	231	176	232	-242	-567	-659	-910	-2110	-129	-34	384	622	1288	664	362	
8	143	150	100	-187	-873	-1138	-1964	-2139	-864	-149	801	1944	1793	563	-7	
52	22	148	206	-7	-421	-1108	-1805	-2067	-414	120	563	1977	1726	547	55	
8	42	216	173	49	-334	-1036	-260	-1622	-339	233	416	1046	1153	537	267	
-8	20	116	58	-63	-262	-543	24	-1104	-244	128	456	690	388	363	196	
21	68	50	8	-14	-138	-370	-151	-903	-41	152	400	95	206	183	-7	
28	184	-195	-118	-28	-117	-357	-164	-501	113	249	368	55	83	173	-113	
