-230	-333	-227	-159	81	432	8	-25	-95	-27	-242	
-272	-591	-228	-161	-28	480	-116	-85	-169	-162	-268	
-390	-944	-1019	-227	57	725	224	-28	-169	-182	-123	
-851	-1077	-1078	-200	163	1318	316	403	-135	-162	-54	
-1236	-591	-1107	-330	311	1300	451	541	-243	-121	71	
-1369	-1224	-800	-372	163	828	677	638	-243	-148	111	
-452	-70	-35	-7	-14	73	81	145	-54	40	358	
50	886	631	205	-528	-1055	-1004	-420	24	368	438	
1446	2907	1734	156	-1050	-2224	-2053	-806	305	440	306	
1554	2353	1965	444	-1877	-3192	-3102	-735	313	200	163	
1122	2263	1823	952	-1558	-2975	-1952	-535	-8	24	207	
491	1100	792	475	-934	-751	-544	-210	-106	-88	18	
-49	323	-42	82	-254	138	-116	16	-115	-202	-113	
-181	-201	-770	-210	-90	464	105	145	-118	-296	-114	
21	-499	-975	-62	16	479	307	290	-203	-238	-255	
-260	-458	-1166	-159	-117	400	357	153	-63	-195	-192	
-292	-444	-726	-344	16	274	251	84	-7	-162	-153	
-244	-194	-756	-207	-268	-23	72	-61	-98	-128	-148	
