100	-7	3	-104	-110	-226	-246	-211	0	16	32	486	301	252	
-14	5	16	-14	-97	-383	-277	-130	-94	-21	144	588	277	268	
276	25	174	101	-103	-586	-347	-501	-224	88	472	673	309	205	
452	33	298	0	-276	-717	-751	-1205	-778	128	586	707	1052	173	
217	133	57	-235	-282	-1152	-838	-1449	-749	48	1040	876	1389	831	
110	58	33	-194	-186	-1021	-423	-1320	-535	-41	480	287	428	450	
58	-91	-139	-187	246	-117	252	-225	-305	-210	168	-47	190	165	
33	-174	-305	-21	255	409	1003	511	-102	-559	-283	-779	-368	-574	
-328	-481	-591	66	387	1500	2191	1441	201	-957	-1721	-1624	-1570	-1216	
-531	-881	-753	-125	1006	2027	2977	1962	411	-857	-2727	-2582	-2551	-1537	
-405	-437	-552	-235	1112	2572	3239	2465	1292	-304	-3378	-3244	-2369	-1969	
-302	-289	-782	-345	510	2554	3064	2083	653	-317	-2557	-2864	-2635	-1788	
-256	-272	-473	-297	-7	1113	1527	660	-106	-68	-1594	-1821	-1317	-783	
-133	-265	-325	-242	-200	81	301	56	30	-48	-518	-736	-287	-14	
268	-14	-319	-211	-324	-470	48	-573	-102	120	-95	103	182	482	
156	50	74	-138	-413	-963	-578	-1636	16	329	152	538	934	932	
134	-21	116	-97	-684	-1660	-1661	-1967	-407	345	614	1435	1204	982	
112	160	185	-7	-611	-1587	-2022	-1694	-359	434	972	1554	1086	530	
86	41	203	132	-193	-499	-766	-961	-305	257	733	944	484	260	
33	127	115	0	-167	-336	-110	-630	-535	168	505	690	214	205	
