-202	-631	-214	-235	-131	9	-96	-177	
-279	-1077	-272	-184	-7	277	-68	-116	
-376	-944	-536	-220	40	472	178	-41	
-703	-1327	-1107	-330	196	863	332	412	
-437	-1283	-1430	-399	409	1545	434	329	
-496	-1238	-1063	-447	270	1213	486	193	
8	-174	-270	-255	-35	81	-14	-27	
450	886	418	-124	-557	-997	-1377	-177	
1140	2174	1823	74	-1515	-1964	-2283	-821	
1518	2532	2232	213	-1587	-2412	-2297	-635	
1068	2567	1129	246	-1384	-2542	-2010	-359	
466	1029	596	41	-891	-1401	-932	-366	
116	99	49	24	-185	-192	-136	-41	
-146	-340	-565	-147	-62	358	-62	137	
-274	-709	-726	16	106	395	186	143	
-407	-885	-1005	-69	98	933	360	170	
-481	-635	-858	-365	163	436	154	-20	
-688	-871	-433	-289	221	292	105	-45	
