-97	-204	-449	-138	-42	105	-10	16	
-237	-229	-316	-179	-48	472	8	-14	
-570	-488	-404	-227	106	480	170	137	
-792	-635	-639	-214	212	676	225	-41	
-1147	-974	-1327	-138	253	951	677	379	
-881	-1106	-1679	-200	417	1160	1094	395	
-733	-1430	-1005	-330	155	627	746	444	
-188	-416	-390	-117	-213	-96	-7	258	
391	886	355	-90	-876	-1083	-1277	-177	
1482	2442	1628	65	-1660	-2123	-2426	-244	
1698	2585	1877	279	-1950	-2628	-2972	-292	
1824	2854	1592	139	-1079	-2513	-2254	-506	
1194	1512	809	304	-746	-1257	-1306	-353	
250	448	-69	279	-28	-14	-198	-153	
