-15	-168	-42	-32	-14	-138	-252	-231	-52	60	16	72	414	119	-40	-107	
-103	-128	-21	8	-16	-131	-309	-328	-238	-152	-95	160	470	238	63	-199	
-99	-82	-7	190	74	-172	-194	-390	-388	-332	48	304	465	277	229	-455	
-42	-42	36	106	-36	-310	-601	-1040	-1033	-298	16	568	809	523	379	-125	
-50	41	52	91	-14	-324	-963	-1040	-903	-231	72	887	673	325	309	-232	
-92	10	41	16	-419	-28	-702	-471	-470	-204	-7	870	402	174	187	15	
42	18	-21	-194	-190	172	-261	65	24	-102	0	224	-74	-294	-122	-30	
25	-134	-181	-561	-316	526	286	1090	1076	-82	-250	-458	-1089	-925	-207	70	
-43	-398	-70	-767	-302	1501	1781	2942	2135	242	-324	-1665	-2103	-1710	-769	118	
-183	-343	-341	-1180	-507	1554	2132	3519	2952	532	-473	-2528	-3315	-2509	-1760	149	
-295	-447	-274	-1533	-463	1112	2660	4008	2969	739	-203	-2769	-4104	-2509	-1969	125	
-351	-379	-186	-974	-609	599	2343	3187	2292	118	-189	-2104	-3258	-2495	-1885	283	
-260	-293	-258	-1135	-463	246	1447	2523	1180	32	-27	-1396	-2329	-1345	-853	78	
-116	-273	-230	-429	-214	-83	163	1195	32	-15	0	-419	-962	-214	-20	362	
-99	0	33	-125	-83	-310	-418	244	-673	-122	136	-148	111	476	474	297	
92	131	133	207	24	-365	-1079	-376	-1277	-224	209	264	876	1877	697	362	
-29	125	225	132	-35	-427	-1732	-896	-1880	-414	297	336	1842	1540	1266	-100	
-10	70	113	134	-7	-138	-1399	-809	-1737	-210	133	272	1825	1355	764	-20	
-85	10	25	331	115	-255	-1370	-506	-1377	-224	176	495	1334	1170	505	141	
-120	33	-230	137	41	-317	-847	-318	-932	-129	16	563	673	404	324	110	
