156	366	487	174	391	260	172	-23	-74	-179	-37	-117	
383	1122	850	478	1274	434	304	269	-15	-128	-104	-118	
929	1574	1264	1504	2326	885	1132	434	138	-52	-133	-164	
985	1574	1715	2180	2796	1748	2370	469	1010	-59	-59	-162	
910	708	1095	1748	3415	3043	3252	1614	1610	130	121	-104	
200	148	331	996	2721	3944	4453	2908	2134	321	433	104	
87	-281	148	1428	1894	3869	6048	3901	4252	564	477	52	
-145	-310	-192	-96	1256	3625	6198	4952	5152	1464	718	199	
-266	-898	-244	-355	356	2499	6348	6564	6146	2681	1786	801	
-274	-467	-370	-449	113	1110	6141	6339	7102	2606	2011	708	
-156	-458	-318	-1030	17	622	5954	6789	7102	2213	1130	346	
-266	-310	-89	-1078	139	566	6123	7277	7514	2288	1992	294	
104	-66	-237	-1078	295	340	6029	7258	6596	1838	1336	156	
296	62	287	-496	478	1711	5747	6939	5208	1688	999	147	
331	-266	131	0	1537	2593	5654	5702	3803	902	728	164	
531	126	505	-23	2852	3513	5410	4089	2491	364	355	17	
258	311	756	977	3772	4507	4490	2120	1535	358	173	86	
628	104	1151	1522	3697	3832	3477	807	442	190	74	112	
646	331	1207	2048	2890	2818	1920	225	-140	-75	-63	-111	
328	130	1433	1804	1688	2311	813	112	-105	-170	-140	-25	
163	200	1038	452	655	634	278	60	-76	-59	69	-30	
