-191	-218	-71	-56	-105	-284	-302	-262	24	163	15	-129	
-205	-83	176	-18	-258	-416	-785	-117	-7	603	137	88	
-99	-85	420	67	-393	-532	-1166	-97	188	986	764	307	
-92	-85	1	-83	-230	-812	-1371	-248	273	793	798	565	
-113	-71	-45	-168	-688	-1047	-990	-482	360	724	434	273	
-158	-169	-84	-21	-146	-181	-125	-200	-14	105	-75	137	
-244	-310	-99	217	516	886	596	-35	-601	-1430	-1047	-95	
-325	-479	-465	435	1482	2460	1805	-35	-1486	-2267	-2297	-392	
-248	-482	-779	368	1824	2567	2303	304	-1979	-2556	-3059	-463	
-184	-422	-630	385	1914	2228	1805	41	-1587	-2282	-2067	-864	
8	-359	-331	293	583	1172	969	131	-876	-939	-1306	-536	
-30	0	-246	-175	91	381	82	-21	0	-62	-347	-308	
55	27	-99	-158	-146	-77	-366	-145	139	456	-75	-89	
118	152	-6	-41	21	-444	-551	-165	180	352	278	96	
-92	84	134	-21	-91	-319	-785	-282	131	497	357	-34	
-47	-43	34	-28	-223	-305	-888	-482	270	279	-48	-72	
45	126	75	41	-320	-429	-639	-275	49	15	-225	-177	
121	164	87	67	-334	-383	-428	-234	-199	-41	-109	-185	
