-267	-59	-30	0	194	298	119	-125	-188	-80	-8	-142	-375	-190	-127	117	-7	-25	49	22	114	366	4	38	71	0	-168	-171	
-304	-133	0	301	26	175	-51	-122	-194	-100	-157	-192	-628	-134	-71	184	-21	21	90	104	207	546	131	118	88	-2	-128	-147	
-61	152	217	352	361	190	-27	-116	-287	-397	-200	-404	-824	-240	-148	351	92	41	614	320	358	546	280	218	0	-114	-156	-207	
-89	152	169	531	458	394	-131	-332	-537	-493	-1049	-1321	-1457	-387	-178	87	313	832	738	457	360	578	227	218	-142	-122	-173	-207	
-64	0	17	839	848	570	-22	-288	-373	-1283	-2312	-2124	-1291	-542	-219	175	241	1619	1236	649	972	1160	227	48	-473	-370	-201	-164	
67	-8	287	917	1021	552	-152	-317	-813	-1741	-2722	-2381	-1622	-987	-331	251	366	1655	1592	882	1218	1283	324	226	-544	-730	-426	-261	
-7	20	222	994	1773	52	-239	-1183	-1703	-2291	-2768	-2714	-1291	-1107	-358	83	416	1548	1467	1182	1552	1440	1007	113	-473	-787	-990	-368	
-13	79	356	1207	1927	280	-362	-1337	-1673	-1818	-1703	-2290	-1698	-1227	-218	100	366	1065	1165	690	1113	1300	1944	444	-243	-504	-1018	-462	
-43	90	347	1169	1715	236	-687	-844	-1274	-1466	-1293	-1654	-1502	-1347	-239	108	283	671	649	670	286	951	1632	705	-176	-688	-722	-374	
-23	-23	160	815	694	-175	-780	-267	-491	-286	-285	-1140	-1065	-897	-8	-42	216	340	543	427	-456	432	312	565	128	-256	-188	-348	
8	-8	240	505	-66	-385	-297	-8	-15	86	51	-511	-733	-338	260	22	66	149	-145	-152	-1341	-328	64	492	279	-88	-34	-121	
-267	-89	-96	469	-693	-523	-51	452	508	340	334	247	-43	-43	110	-196	-119	-738	-263	-917	-1573	-491	-731	129	584	344	263	190	
-172	-305	-411	-373	-1568	-262	270	1353	2053	1970	1327	1426	1051	342	420	-746	-910	-1930	-1532	-2200	-1834	-1820	-1809	-305	635	1228	1232	182	
-217	-546	-1518	-1427	-1911	-414	515	2206	2374	3094	1905	3816	3096	1679	652	-733	-1605	-3520	-3290	-2885	-2342	-1906	-2685	-821	550	1245	1876	246	
-423	-591	-1455	-1851	-2505	-542	1013	2376	2826	3488	2259	5724	4220	2393	889	-1251	-2152	-5389	-3803	-3891	-2356	-1979	-2757	-835	687	2165	2452	1069	
-341	-337	-1817	-2181	-3146	-231	803	3741	2298	3432	2687	7021	4275	2796	925	-1385	-2493	-6523	-4769	-3979	-2850	-2441	-3231	-1607	584	2830	2536	884	
-280	-443	-2085	-1961	-3036	-277	669	3987	2562	3657	2911	7447	4717	3162	1107	-1118	-2448	-6537	-4638	-3395	-1994	-2166	-3691	-1750	807	3068	2469	1540	
-363	-527	-2085	-2008	-3052	-713	681	3551	2336	3357	3097	6132	4772	3327	652	-806	-2596	-5448	-4022	-3046	-2240	-1906	-3289	-1936	481	2557	1994	1355	
-272	-670	-1155	-1521	-2552	-1133	471	2035	1431	2270	2594	3964	3170	1459	506	-321	-2300	-3549	-2792	-2229	-2182	-1776	-2268	-549	481	1739	1300	722	
-52	-391	-872	-1333	-1849	-931	113	993	677	1670	1886	2037	1549	1111	176	83	-940	-1209	-1415	-1296	-1776	-1083	-1967	-177	402	716	334	665	
-119	-258	-422	-286	-583	-1164	-282	304	395	1633	1159	281	356	752	-99	24	-35	207	-276	-385	-1428	-478	-1334	-82	281	136	83	127	
-111	80	-272	496	-44	-822	-1461	-137	69	628	231	-511	-318	42	-301	150	208	1512	33	-49	-131	-48	-184	412	370	-518	-262	-81	
-13	277	374	700	482	-277	-2050	-1291	-309	-272	-178	-1730	-417	-268	-199	159	348	2764	525	419	360	1125	920	622	160	-815	-1314	-334	
41	71	1424	1440	1677	219	-1585	-1707	-1366	-1848	-1065	-2290	-1472	-927	-386	67	618	3319	987	1182	1324	2051	1632	589	-351	-1169	-1850	-742	
-37	161	650	2215	2505	667	-888	-2077	-2256	-2597	-2023	-2623	-2240	-807	-190	351	1158	3856	2054	1943	2449	3012	1528	403	-587	-1778	-1821	-504	
-97	122	382	2331	2524	1461	-253	-1275	-1826	-2857	-2099	-3214	-2346	-717	-169	100	1104	3301	1770	1872	1939	2488	1163	290	-843	-1665	-1652	-728	
47	44	427	2196	1561	962	-167	-1106	-1504	-2444	-1749	-2926	-2210	-507	-274	309	708	2675	1539	670	1728	1981	538	371	-445	-1240	-905	-462	
44	-229	222	1847	740	598	-131	-540	-1627	-1909	-1460	-1866	-1622	-402	-106	368	458	1226	614	599	920	933	170	121	-431	-504	-905	-488	
-15	-244	-155	434	440	157	-87	-159	-1028	-679	-463	-988	-748	-331	-197	251	318	381	297	599	212	334	56	105	-399	-276	-255	31	
