-165	-180	-369	-361	274	87	136	199	94	237	
-117	-301	-332	-313	-68	-68	256	231	215	260	
-170	-470	-342	-702	-163	32	512	446	277	199	
-110	-905	-939	-1262	-678	96	852	622	1338	426	
-363	-1558	-1026	-774	-406	48	1057	961	1120	490	
-159	-1587	-451	-483	-349	-129	480	521	293	181	
24	-247	48	32	-137	-54	432	-88	-147	94	
263	425	725	851	-177	-223	-175	-765	-307	-400	
422	1412	1999	2188	331	-243	-1254	-2202	-1065	-1523	
1059	1921	3134	3021	342	-459	-2571	-3104	-2102	-2053	
776	3099	3571	2570	1016	-176	-3081	-3244	-2004	-1774	
51	2712	2925	2014	360	-162	-2500	-2737	-2271	-1913	
106	1236	1387	1111	135	-162	-1183	-1554	-1177	-1216	
-55	-28	480	32	28	-108	-323	-309	-408	-127	
-372	-470	220	-846	56	185	16	279	182	316	
-800	-1138	-376	-1751	-217	233	480	927	901	865	
-757	-1660	-1401	-1981	-339	225	1057	1791	1103	1417	
-165	-1515	-1993	-1995	-414	353	1040	1469	884	1417	
-152	-659	-1026	-1579	-298	88	972	1097	444	1417	
-62	-499	-318	-918	-339	-108	870	318	222	597	
-35	-473	-323	-218	-89	-34	400	247	39	252	
