-35	23	-3	-35	-8	-55	-164	-522	-216	-330	-178	-82	-60	275	62	46	-53	-148	-106	-140	-148	-97	
8	248	8	121	196	293	-279	-721	-957	-337	-168	-34	110	535	550	85	-64	-207	-171	-141	-28	-67	
165	328	247	375	269	43	-487	-964	-872	-560	-335	-27	308	1254	847	304	-79	-196	-230	-407	-154	-222	
-7	181	231	690	147	97	-1004	-1936	-1355	-1438	-342	-107	268	1288	1161	724	264	-265	-257	-390	-168	-165	
-28	174	214	396	24	-164	-1564	-2179	-1654	-1849	-567	0	31	1138	1756	1463	497	162	-141	-202	-200	-264	
133	204	313	322	262	-76	-1794	-1550	-1014	-1141	-516	-114	308	1570	1789	1348	326	191	-156	-208	-274	-218	
158	199	264	320	-131	-96	-1449	-735	-358	-1013	-456	-181	221	1437	1178	1020	365	132	0	-341	-334	-311	
8	-277	-97	-14	-499	-362	-645	-149	80	-404	31	31	63	362	-60	179	77	-27	140	-407	-407	-234	
-209	-409	-287	-365	-702	-123	-123	101	555	304	358	0	-286	-219	-1210	-485	-289	-294	306	-8	236	-119	
75	-532	-639	-859	-775	554	642	1861	2299	1841	1351	-74	-449	-705	-2135	-1502	-1976	-308	552	551	597	437	
-153	-341	-1049	-1281	-1312	584	2014	3069	3311	3443	1994	-47	-714	-2009	-3862	-2793	-2714	-837	1496	1580	1485	420	
-333	-400	-1488	-1835	-1573	521	2396	3621	3860	5029	3180	-21	-825	-3606	-5505	-3824	-2345	-2282	520	1164	1485	586	
-320	-753	-1400	-2317	-2023	706	2465	4329	4323	4995	3553	127	-309	-4133	-5795	-3810	-2591	-1683	223	1145	1183	393	
-285	-499	-1444	-1544	-949	684	2292	2828	3208	3989	2401	-87	-333	-3328	-3931	-2560	-2933	-1031	913	1410	411	175	
-84	-492	-1254	-815	-557	432	1458	1706	1819	2591	1402	275	-120	-2023	-2025	-1639	-2386	-680	404	674	0	122	
-9	-91	-352	-179	-369	-198	357	498	329	240	436	-94	-191	-705	-1293	-481	-499	-193	37	-52	-222	61	
41	-42	66	148	-322	-349	-456	-129	-616	-350	-201	-194	158	-80	-60	-99	-20	-39	-8	-141	-341	17	
166	-35	240	882	384	-417	-1349	-1393	-1754	-1197	-1046	-254	221	621	1657	1134	139	65	-136	-208	-181	43	
156	0	756	1695	622	-253	-1607	-2265	-2650	-1948	-1272	-224	142	1404	2549	2135	-20	-94	-390	-296	-215	-147	
133	16	413	705	491	-396	-1852	-2465	-2665	-2189	-905	-201	284	1720	2482	2874	1036	224	-615	-887	-163	-148	
0	54	272	334	245	-21	-1607	-1893	-2465	-1495	-891	0	237	1736	2169	2464	840	-98	-444	-420	-8	-148	
-84	-70	355	329	292	260	-961	-1436	-1341	-1282	-877	182	505	1072	1904	1725	349	7	-289	-341	-8	-119	
-104	-97	57	213	209	15	-659	-964	-1071	-773	-429	-67	308	605	1112	905	431	177	-60	-156	-112	-72	
