-200	-326	-180	-69	-11	40	-177	-89	
-245	-541	-296	-131	-14	260	-24	-105	
-955	-723	-331	-255	-117	342	104	-129	
-1176	-478	-873	-353	-124	255	227	8	
-1043	-620	-1005	-159	212	578	381	201	
-1147	-635	-1415	-248	515	706	521	250	
-1162	-430	-1093	-248	286	627	357	102	
-167	-118	-145	139	-124	-130	-82	24	
500	886	388	328	-601	-1156	-1262	8	
1392	2657	1041	-55	-1660	-2210	-2297	-478	
1158	2621	1467	-42	-2313	-2628	-2628	-520	
1446	2854	1076	180	-1674	-2600	-1852	-649	
888	1762	495	-90	-818	-1257	-1076	-522	
25	348	-21	-138	-158	-96	-143	-366	
