-48	-99	-16	226	-244	-305	-352	-209	-96	317	118	
72	-53	99	351	-334	-606	-551	-145	-83	529	247	
42	66	117	13	-496	-1386	-829	-62	-55	668	312	
25	83	109	83	-1073	-1474	-1298	-371	24	1055	503	
60	135	-43	-119	-1339	-1342	-1532	-145	180	1580	364	
127	90	-23	-154	-1176	-1577	-1561	-454	32	986	105	
-15	8	16	-54	-91	-243	-263	-97	0	-123	-116	
-276	-380	-163	16	316	599	330	-220	-615	-1560	-1262	
-410	-1212	-302	100	1086	2389	1396	-200	-1355	-2267	-2369	
-899	-1437	-704	100	1536	2764	1841	-90	-2037	-2686	-3130	
-240	-927	-480	8	1392	2389	1663	180	-1921	-2816	-1636	
-78	-412	-169	16	475	1297	809	411	-1399	-1502	-831	
-29	-193	-225	-308	-56	-125	24	82	-311	-314	-238	
-50	-106	-239	-335	-341	-485	-255	82	-90	203	8	
-99	152	-127	-328	-53	-767	-639	-49	155	366	259	
-149	-9	-197	-294	-215	-767	-770	-152	188	570	308	
-47	160	-85	-189	-258	-871	-448	-145	229	409	316	
-240	363	-64	-189	-288	-444	-404	-138	196	287	129	
61	481	25	100	-258	-332	-125	-59	-14	155	129	
