-132	-210	-347	-201	-83	-131	-44	-218	-68	
-147	-230	-506	-207	-104	-254	146	-98	-109	
33	-629	-826	-287	-186	30	489	93	-116	
-105	-481	-1032	-373	-262	73	1213	97	113	
-56	-629	-944	-1166	-269	360	1248	251	290	
-349	-688	-1106	-1166	-165	147	724	764	307	
-454	-1088	-1018	-639	-186	65	689	677	597	
-175	-91	-70	-173	-179	-21	187	-7	177	
-75	483	489	289	-7	-398	-636	-946	-271	
376	1734	2532	1521	82	-1283	-3206	-1765	-949	
92	1950	3373	2108	246	-2110	-3423	-2628	-663	
-119	1644	2943	1788	131	-1268	-2614	-2139	-778	
92	583	1530	1236	-35	-412	-1127	-1435	-407	
-98	-21	49	99	16	-199	-520	-198	-89	
