-220	-514	-294	-463	-292	152	1347	1012	579	714	
-193	-876	-1040	-702	-435	104	818	1283	648	1132	
74	-370	-546	-578	-298	-7	432	605	206	697	
279	-131	179	-300	-353	112	312	-128	31	331	
526	450	1143	284	-353	-331	-417	-1469	-241	-353	
687	1500	1981	1719	298	-453	-2047	-2019	-1387	-1230	
1253	1746	3414	3125	395	-616	-2712	-2723	-2439	-1927	
1006	2853	3990	3056	601	-630	-2953	-3399	-2481	-1788	
528	2132	3344	2222	170	-658	-2203	-3118	-2439	-1481	
403	1183	1597	1042	-158	-115	-1296	-1568	-1275	-333	
172	24	301	170	-62	-142	-376	-329	-201	276	
-351	-309	48	-515	-116	136	-88	287	468	1049	
-385	-1007	-780	-1535	-292	160	336	1198	1052	1099	
-365	-1848	-1704	-1880	-258	305	1347	1944	1271	1199	
-303	-1587	-1618	-1909	-285	345	563	1706	1456	965	
-494	-949	-458	-1622	-271	80	392	1317	850	482	
-212	-281	-48	-946	-163	-27	699	1181	716	300	
-296	-315	-232	-343	-204	321	472	605	214	31	
