-78	-45	1	-47	-160	-193	-823	-1145	-125	-294	-30	-97	-52	18	218	393	428	69	81	-37	-43	-89	-133	
-27	-34	-47	-91	-80	-206	-377	-1392	-745	-562	-119	-66	96	87	376	620	480	206	148	78	95	-37	-119	
-135	-87	-54	-66	-140	-173	-768	-925	-1470	-608	-311	-141	131	91	341	1168	506	324	357	-104	322	130	69	
-169	-122	-84	-140	-273	-391	-1251	-1296	-1320	-549	-750	-156	541	846	1143	1658	1110	230	964	402	497	180	52	
-29	-127	-87	-134	-386	-788	-1956	-2024	-1552	-601	-813	-252	1372	695	1728	1752	2033	1718	1454	252	322	249	104	
-27	-175	-223	-341	-881	-1412	-2605	-2821	-2495	-1221	-1018	-509	975	808	1785	2375	3070	2491	2396	383	497	392	243	
-132	-236	-289	-602	-1411	-2426	-3862	-3535	-3001	-867	-541	-919	654	350	1728	2016	3749	3490	2810	1331	1173	331	182	
-286	-447	-469	-742	-2150	-3023	-5533	-3755	-2113	92	-185	-397	105	52	954	1319	3881	3640	4486	2630	2453	705	304	
-324	-673	-934	-1415	-3364	-3994	-6113	-3151	-1511	-258	-171	-170	96	-848	428	340	2373	4262	6012	3364	3205	1404	869	
-237	-673	-1990	-1850	-4759	-5632	-4828	-1969	-786	558	227	-208	-370	-2219	-789	-97	883	3132	6558	4061	4579	1649	888	
-402	-815	-2244	-3042	-4982	-6132	-4690	-732	-322	1546	1156	-185	-926	-3732	-2380	-1029	463	3056	7218	4249	6310	2495	1151	
-459	-1098	-2441	-3561	-5987	-6715	-4828	-165	466	3749	1666	148	-1998	-4866	-3624	-2525	43	1002	7218	5473	6216	2852	2016	
-431	-957	-2596	-3575	-6935	-6770	-4566	-20	368	4462	948	236	-1761	-6206	-5530	-3029	-134	437	6784	6207	5990	3341	926	
-929	-688	-2723	-3785	-6894	-6479	-3723	-270	93	3571	1647	8	-2029	-5938	-5593	-2935	-338	475	5899	6357	5727	2721	496	
-1014	-323	-1976	-3378	-6656	-6951	-3710	-897	93	3004	490	-23	-2392	-5150	-4002	-2399	-303	1097	6106	6922	5332	2382	512	
-402	-404	-1568	-2411	-5750	-6646	-4290	-1584	-361	3652	96	26	-1210	-3070	-1797	-1690	489	2321	5899	6922	4447	1705	348	
-118	-377	-1300	-1962	-4885	-4910	-5077	-2381	-466	1854	-126	-153	-89	-2172	-348	-761	1826	3377	6182	5360	3582	859	347	
-81	-357	-877	-911	-3713	-4369	-4718	-3288	-1989	170	-208	-422	148	-691	803	148	2919	3188	5089	4437	1644	331	182	
-68	-411	-469	-434	-2667	-3675	-4621	-3481	-3015	-386	-286	-245	481	157	2426	1319	4201	3056	5014	2122	176	305	0	
80	-202	-74	-281	-1202	-2551	-3668	-3577	-2331	-881	-304	66	549	166	2426	1960	4088	2397	3526	724	165	156	69	
-27	-236	-201	-101	-797	-1787	-2881	-3151	-2304	-1629	-311	159	534	323	2294	1564	3768	1756	2885	375	270	110	-96	
-70	-256	-41	-234	-881	-857	-1776	-2065	-2495	-2105	-252	214	1107	714	1370	1092	1845	908	1586	26	-104	-3	-104	
-136	-89	63	-322	-1076	-338	-975	-1667	-1757	-1439	-304	-156	1013	201	1200	847	1298	261	1341	-148	-111	-23	-23	
-88	-27	-21	-41	-280	-179	-699	-787	-499	-490	-119	-104	560	175	419	236	549	227	148	-237	-83	-25	60	
-108	-36	-41	-74	-177	-238	-395	-1035	-564	-405	-218	-185	157	52	323	279	436	-30	113	-60	-92	-52	165	
-75	32	-155	-124	-132	-199	-146	-787	-650	-468	-163	-185	-163	-74	151	122	17	-178	8	-229	-170	-45	270	
