-29	-85	-82	0	-452	-264	-290	-169	98	513	160	8	
-29	-64	0	-112	-481	-488	-345	-289	368	1213	129	218	
61	-29	-29	-285	-821	-694	-568	-330	674	1422	555	525	
91	109	26	-175	-659	-753	-902	-234	311	1318	833	525	
0	49	-109	-398	-703	-664	-1034	-207	40	758	851	267	
-85	-113	-113	-49	-133	-91	-283	-241	-90	440	97	24	
-156	-352	-211	226	525	1100	418	-110	-557	-665	-490	-251	
-290	-598	-480	150	1500	2836	1201	205	-1558	-2686	-2053	-535	
-332	-468	-630	276	1320	3247	1396	230	-1921	-3076	-2742	-298	
-295	-310	-525	368	1140	2818	1076	419	-1181	-2022	-2326	-400	
-225	-310	-148	125	316	1243	429	-90	-514	-838	-1377	-921	
-22	-134	-134	0	41	-125	74	-14	-199	-369	-361	-170	
33	143	-71	-259	-140	-826	-565	-49	-48	228	-68	-46	
-142	50	-88	-308	-585	-1224	-536	-159	393	422	137	88	
-41	-2	-22	-77	-585	-1209	-697	-193	368	344	97	-68	
-15	8	50	-210	-600	-1062	-932	-255	163	262	64	-27	
25	152	92	-56	-501	-606	-360	-207	8	480	-102	0	
84	127	-57	83	-327	-638	-428	-131	-35	147	-204	153	
127	5	-19	83	-320	-478	-348	-124	-35	-103	-78	7	
