-317	-172	-320	-544	0	-29	0	200	112	53	-27	
-176	-343	-451	-760	193	100	264	350	192	86	31	
-165	-543	-1286	-803	-217	-27	614	558	222	205	-80	
-97	-1138	-1329	-1148	-285	128	1568	859	523	474	-299	
-200	-1123	-1127	-1191	-377	160	1313	792	918	466	39	
-248	-978	-430	-572	-170	152	852	521	341	434	-40	
115	-238	-103	-157	-95	72	96	-222	-147	181	12	
287	24	758	519	-122	-203	-538	-990	-588	-260	0	
404	1693	2313	1736	8	-446	-1594	-1469	-1696	-1188	23	
1235	1816	3501	2587	234	-786	-2458	-3005	-2593	-1620	-27	
793	2572	3274	3090	757	-250	-2571	-3977	-2607	-2262	70	
1006	2044	2855	2483	584	-264	-2104	-3216	-2607	-1941	-34	
98	1236	1911	677	-244	128	-1169	-1835	-1612	-1076	78	
-110	32	358	-48	-1	88	-574	-483	-361	102	78	
-241	-702	-636	-889	-171	-3	32	239	158	537	15	
-365	-1442	-1444	-1794	88	40	408	927	833	932	-54	
-1296	-1399	-1430	-2268	-278	217	341	1554	1591	1166	-285	
-567	-760	-1430	-2254	-149	265	376	1469	388	764	39	
-276	-514	-1083	-1133	0	249	563	1080	381	537	346	
-344	-254	-301	-630	-94	88	376	758	357	547	181	
-344	-131	-178	-225	169	104	248	231	150	387	149	
