47	47	112	511	282	226	-119	-82	-60	122	-74	
231	428	31	889	302	546	62	15	-25	-8	-147	
287	603	379	1504	649	593	340	61	62	-23	-93	
430	1574	881	2102	1805	1118	645	372	236	160	43	
605	2029	1216	2268	2582	2152	1786	549	388	385	218	
295	1355	1166	2102	3457	3104	1916	2194	385	284	201	
7	825	229	2069	3738	3251	2650	3279	481	483	420	
-128	206	-107	1254	2499	3481	4215	3117	701	431	522	
-342	127	-853	922	1508	2382	5063	4705	1458	332	379	
-483	-27	-1327	-160	321	1692	4362	6908	2044	516	744	
-1046	-154	-1481	-193	-20	1430	3743	7442	2252	314	422	
-877	-227	-1341	-219	35	527	4639	6049	2271	616	729	
-1075	-201	-1300	-299	-146	576	4574	6357	1723	238	359	
-1159	-94	-1411	-365	15	675	3335	6227	2025	359	276	
-1075	15	-1230	-7	451	937	3041	5968	1666	429	165	
-429	31	-351	369	1012	1069	3743	4348	876	559	148	
-228	111	-114	1271	2053	1938	3743	3409	853	218	-148	
0	539	268	1820	2763	2759	2340	4057	140	17	-185	
255	968	764	2401	2714	2841	1493	2761	280	131	-126	
215	1423	1249	2734	2218	2398	1166	711	350	148	-41	
310	1456	865	2551	1954	2217	660	278	350	171	-67	
382	1322	1065	1986	1442	1430	264	168	308	253	26	
504	1035	584	1537	1145	790	-60	54	464	78	111	
430	301	268	806	250	296	-282	61	300	359	288	
