-148	-92	-40	-33	-28	-223	-402	-332	-157	8	146	-62	-84	
-93	-39	-56	25	-32	-348	-414	-270	-248	81	578	158	54	
-102	-29	-71	-43	-221	-807	-635	-521	-90	253	627	227	218	
-66	33	-275	84	0	-1029	-664	-1327	-296	376	1230	764	315	
-185	-158	-87	31	-7	-1043	-606	-1166	-385	343	2278	607	331	
-185	-142	-106	-13	-91	-895	-1180	-858	-550	327	1213	324	148	
-206	-339	16	-12	-49	-223	-333	-228	-227	40	-89	32	40	
-319	-389	-310	0	25	275	456	756	-21	-731	-1358	-1320	-210	
-327	-410	-521	-204	92	2004	2263	1663	-97	-1500	-2036	-2053	-492	
-277	-628	-626	-286	276	2364	2460	1965	304	-1674	-2600	-2742	-549	
-348	-372	-477	-137	134	1986	2102	1681	468	-1239	-2311	-2268	-312	
-256	-184	-261	-167	108	1608	903	845	468	-213	-939	-659	-183	
