201	120	-70	18	-21	-131	-226	-212	-266	-68	-58	29	310	-147	-118	-264	-262	-198	-197	
159	226	33	33	-71	-317	-383	-321	-630	-28	-7	149	478	127	22	-7	-190	-234	-283	
302	86	17	33	24	-200	-601	-650	-774	-251	0	96	758	230	86	-73	-395	-265	-307	
294	-42	-21	-35	-83	-234	-978	-1026	-1061	-414	-135	568	775	404	197	-133	-602	-404	-261	
201	-7	-21	2	-145	-337	-862	-546	-1119	-663	-61	1108	741	867	292	7	-380	-333	-276	
44	0	2	58	-159	16	-338	-321	-585	-312	-176	332	453	396	252	-54	-437	-269	-300	
58	8	-28	-149	-35	337	-185	-287	-96	0	-108	-54	-21	-121	63	-54	-47	-14	-21	
-105	-252	-181	-395	-166	687	335	374	764	145	-196	-411	-751	-714	-366	-246	39	343	124	
-127	-349	-333	-534	-287	1076	1570	1143	1788	653	-338	-1098	-1695	-1415	-1076	-226	434	494	225	
-330	-559	-452	-959	-814	1483	2150	2768	2552	895	-530	-2472	-2653	-2299	-1704	-372	1012	1003	341	
-351	-865	-629	-944	-492	1448	2624	3676	3073	946	-311	-3123	-3160	-2481	-1648	-266	1442	1577	178	
-316	-761	-895	-709	-536	546	1851	2785	2587	429	-616	-3166	-2639	-2537	-1732	-40	1442	1282	310	
-281	-280	-14	-340	-536	-255	1412	2331	1476	105	-243	-2344	-1680	-1514	-811	-27	880	554	-14	
-15	-245	-126	-284	-331	-239	81	741	251	137	-277	-787	-680	-434	181	267	86	78	-151	
-99	150	75	-201	-132	-450	-418	-396	-211	-73	-135	16	-27	373	458	275	156	-132	-211	
77	186	266	107	-83	-494	-1486	-896	-1320	-82	120	733	707	1103	948	-47	7	-266	-303	
58	251	275	118	-187	-844	-1689	-1589	-1708	-285	281	1125	1300	1726	1400	-279	-258	-258	-315	
42	226	66	86	-111	-582	-1326	-1213	-1579	-258	361	563	1181	1860	764	-60	-245	-191	-243	
16	234	-56	45	-7	-303	-1021	-1141	-1306	-163	378	870	588	1305	545	97	-67	-158	-222	
84	74	28	157	-7	-289	-1050	-520	-788	40	120	682	366	581	331	-27	-80	-224	-224	
26	-12	-63	-48	-21	-248	-295	-96	-731	-420	-41	240	143	71	189	39	-185	-191	-299	
-59	-84	-140	-124	-249	-193	-148	-21	-616	-217	64	144	79	-54	-2	-73	-126	-99	-243	
