-126	-423	-373	-220	-103	489	47	-14	
-272	-694	-741	-427	-7	529	-82	36	
-306	-856	-990	-179	98	1160	186	218	
-748	-1342	-1503	-344	433	1859	677	387	
-422	-1283	-1400	-537	603	1649	208	105	
-733	-1091	-990	-655	621	1143	357	115	
325	-139	0	-255	49	8	-41	-55	
870	993	1041	-207	-311	-1488	-946	-224	
1500	2800	1574	-220	-1239	-2080	-1981	-478	
1752	3086	2090	82	-1645	-2542	-2541	-520	
1482	3068	1699	534	-1239	-2585	-1751	-400	
383	1494	809	263	-223	-679	-716	-488	
-98	315	-28	-76	57	-89	-150	-258	
-251	-277	-712	-186	122	619	73	-109	
-333	-593	-756	49	270	448	357	8	
-526	-1003	-888	0	40	546	413	-68	
-393	-388	-946	-241	410	407	243	113	
-285	-284	-624	-138	139	160	177	129	
-334	-309	-414	-90	-69	81	178	59	
