-8	329	-22	25	-119	-194	-712	-200	122	99	-30	-55	
87	99	-239	-273	-230	-520	-712	-234	139	211	-109	-94	
120	58	-71	-301	-313	-468	-477	-200	-48	537	-102	-81	
67	84	302	-101	-411	-561	-682	-193	294	646	194	48	
-8	75	235	8	-895	-929	-1049	-330	286	1562	920	242	
127	151	48	-335	-1176	-1577	-1224	-310	163	1283	503	323	
107	135	-28	-308	-984	-1268	-858	-392	8	1178	316	103	
40	0	-64	-182	-119	-125	-35	-179	-76	440	-184	-21	
16	-366	-169	-84	450	448	596	49	-194	-451	-1622	-251	
-318	-654	-162	167	2166	2406	1877	65	-1399	-2513	-2685	-663	
-375	-527	-239	159	1950	2639	2215	312	-1877	-3365	-3130	-520	
-233	-837	-659	58	1626	2335	2037	518	-1094	-2556	-1909	-373	
-177	-732	-120	0	1266	903	1201	345	-485	-1257	-1004	-359	
-252	-443	-246	-335	175	58	264	-90	-226	-273	-143	-89	
