-209	-402	-276	-55	163	141	-218	8	
-304	-527	-521	-289	-28	236	-150	-14	
-407	-959	-712	-365	-7	513	-96	-92	
-1043	-1356	-814	-289	262	530	275	100	
-1029	-1606	-1635	-358	352	1073	1111	355	
-792	-1636	-1679	-296	335	1160	607	517	
-777	-1400	-990	-351	90	986	521	304	
-160	-208	-201	-186	9	326	40	55	
333	975	363	-35	-1065	-867	-1033	-14	
1590	2621	1681	180	-2153	-2498	-2053	-319	
2292	3051	1877	279	-2748	-2989	-3403	-549	
1950	2764	1663	337	-1718	-1791	-2225	-492	
1104	1029	898	279	-717	-535	-875	-468	
