-113	-135	-67	157	-74	-83	-240	-262	-601	-296	-245	-236	-134	-53	-89	31	274	249	-250	-110	-101	122	-119	
-155	-189	-153	-57	-187	-159	-192	-130	-918	-68	-223	-169	-34	-84	-100	15	159	127	-164	-28	-23	1	-208	
-8	-273	-177	-42	-318	-454	-630	-546	-1090	-563	-108	-182	-255	-155	-240	-47	70	62	-99	66	76	113	341	
-45	-224	-88	-155	-433	-468	-1138	-1040	-1119	-536	-630	-333	-335	-41	-240	157	188	150	15	206	150	201	78	
-78	-224	-91	-56	-332	-530	-1079	-939	-1636	-606	-1256	-182	-402	166	229	574	517	675	824	427	210	192	148	
-36	-217	-223	-42	-311	-553	-1718	-1314	-2225	-1579	-1683	-411	-302	174	379	822	1624	987	1737	471	368	262	271	
-134	-384	-407	-423	-1049	-1675	-2675	-2239	-2929	-2394	-2039	-364	-194	269	237	955	2251	1938	1297	1854	639	218	207	
-183	-440	-881	-871	-1854	-2040	-3880	-3509	-4352	-2136	-1939	-290	-66	41	-54	1387	2532	1906	1982	3166	1137	417	210	
-211	-503	-541	-1283	-2719	-2812	-4997	-3495	-3892	-1364	-815	56	-44	15	-286	889	1524	1774	3139	2971	2309	106	306	
-288	-447	-511	-2445	-3978	-4591	-5882	-3437	-3303	-502	-27	416	67	-7	-867	480	798	1594	2732	4348	2990	616	639	
-689	-510	-1250	-2769	-4931	-6005	-6665	-3451	-2096	201	721	1330	-94	-187	-1802	-458	-331	444	824	6211	2933	1051	2146	
-973	-461	-1783	-3152	-5853	-7040	-6578	-2325	-875	946	2282	2949	119	-434	-2597	-1607	-1845	-7	536	6130	3878	1561	2996	
-570	-182	-1309	-3520	-7157	-7055	-5040	-751	-7	2500	4031	4176	724	-462	-3950	-2690	-3254	-609	481	4737	4597	2090	1806	
-316	-598	-999	-3608	-7860	-7201	-4837	-405	470	3397	4700	4551	1334	-392	-4592	-4258	-4317	-1145	450	4122	5656	2997	2052	
-570	-1207	-1132	-4006	-7128	-7842	-4982	-679	330	3984	4495	4637	1673	-588	-4117	-5230	-5491	-1282	-243	3781	5410	2619	2071	
-331	-1014	-1324	-4329	-6600	-7813	-5548	-1170	97	3932	4220	5046	893	-644	-3908	-5521	-4345	-1323	-132	4818	6034	2714	2524	
-162	-880	-851	-2961	-5092	-6719	-5084	-1401	-211	1913	2299	3699	279	-602	-3085	-3272	-1776	-251	384	3765	5750	2563	1466	
-64	-939	-467	-2019	-3890	-5743	-5214	-2239	-1521	444	353	2455	-21	-381	-1467	-1718	-192	823	1085	4154	3916	2033	542	
92	-356	-274	-753	-2601	-5203	-5200	-3581	-2829	-792	-318	440	-168	-34	-160	-206	236	1955	1444	4753	2706	786	463	
201	-280	-425	-1342	-1810	-3687	-5258	-3567	-4151	-2322	-1825	-108	-262	-14	86	582	1591	2940	2047	4445	1458	1089	358	
201	-273	-202	-885	-1019	-2025	-3357	-2845	-4093	-2794	-2138	-350	-306	15	697	1786	2714	3448	2520	2534	508	578	-15	
1	-196	-209	-250	-270	-1325	-2139	-1906	-3073	-2951	-2593	-485	-624	-67	865	1504	2730	3268	2031	1449	105	35	92	
-15	-210	-182	-243	-242	-757	-1297	-1545	-2283	-1993	-2394	-843	-286	-21	865	1670	1607	2414	512	830	-74	-237	66	
-71	-93	-63	-208	-194	-241	-1007	-867	-1593	-1364	-1811	-688	-148	0	848	1487	1062	2365	163	242	-15	-5	-28	
-36	-28	-7	-97	-83	8	-254	-219	-601	-949	-815	-688	-74	277	411	1371	376	1200	240	187	219	14	-30	
-22	67	1	-21	-125	74	-226	-190	-177	-563	-544	-431	55	144	371	789	101	569	-46	49	48	-126	-16	
