50	-14	165	-21	-117	-199	-314	-673	-109	-7	120	358	150	173	133	
-119	35	165	24	-83	-688	-492	-302	-123	24	88	366	285	284	78	
-168	108	157	24	-330	-862	-419	-164	-102	32	248	470	238	229	-27	
-95	50	89	165	-337	-963	-953	-374	-441	112	716	656	460	747	-193	
25	23	-14	-7	-275	-1254	-1055	-368	-247	128	1671	995	388	509	322	
73	33	17	-53	-76	-1370	-838	-565	-305	168	1620	893	87	310	-54	
-77	-42	-49	-68	-35	-14	277	-75	-278	-16	224	-114	-7	308	86	
-168	-119	-153	-132	328	450	1283	660	-109	-176	-364	-877	-392	-120	78	
-349	-332	-333	-201	652	1500	2034	1458	339	-331	-1509	-1835	-1612	-1062	-126	
-573	-526	-541	-359	652	2291	3064	2448	411	-687	-2613	-3315	-2145	-1802	-60	
-352	-230	-350	-125	510	2660	3519	3247	1309	-516	-3378	-4132	-2243	-2025	165	
-349	-215	-261	-166	210	2466	2820	2830	757	-416	-2642	-3611	-2271	-1565	102	
-175	-239	-162	-180	139	955	1737	1111	64	-169	-1820	-2145	-1317	-1216	78	
-56	-64	-124	-106	-7	196	521	-116	32	-176	-758	-694	-247	-253	48	
259	8	-42	-111	-596	-261	-260	-1104	-323	-102	16	239	492	434	275	
427	133	190	-145	-698	-891	-896	-1923	-116	-48	480	1215	1675	731	47	
477	25	207	-125	-669	-1399	-2137	-2613	-792	321	495	2096	1742	814	-179	
231	155	290	24	-523	-1326	-1661	-2513	-678	450	460	1876	1237	781	118	
193	75	850	107	-421	-1079	-301	-1148	-224	337	512	1571	783	347	165	
132	249	338	8	-406	-336	73	-817	137	209	280	792	206	142	99	
51	-77	248	-7	-90	-295	-232	-429	113	152	243	310	127	15	165	
