-8	-119	25	16	-157	-55	-232	-334	290	16	288	295	119	65	-99	
0	51	157	-24	-178	-240	-329	-472	-171	11	216	334	95	83	15	
33	166	149	49	-289	-296	-369	-702	-319	-14	232	355	333	158	-40	
150	224	224	-7	-220	-818	-997	-1291	-692	-7	784	521	381	395	-179	
125	176	224	-132	-262	-862	-968	-903	-692	-48	921	758	564	367	165	
-56	133	93	8	-76	-514	-437	-456	-649	-162	921	159	237	347	338	
-49	58	8	-152	0	-315	-116	-34	-592	-81	288	-242	-121	79	110	
-140	-174	-354	-270	394	327	701	1007	-244	-223	-310	-1103	-224	-373	86	
-280	-541	-541	-235	723	2044	2645	2535	210	-365	-1452	-2427	-1149	-1397	23	
-391	-777	-575	-235	1501	2554	3658	3160	395	-1142	-2486	-3315	-2102	-1871	-113	
-349	-674	-1356	-242	1147	2677	3728	3351	826	-687	-3236	-3244	-2229	-2011	-193	
-238	-718	-1445	-352	228	2378	2942	2691	325	-487	-2500	-2991	-2074	-1732	-153	
-210	-585	-1283	-521	90	1746	2436	1406	239	-81	-1891	-1906	-1093	-1118	-133	
-98	-292	-532	-448	-110	204	933	89	83	32	-546	-779	-247	-253	-73	
201	0	-250	-311	-276	-405	48	-616	-28	-39	-216	-148	396	142	-20	
326	133	-49	-151	-275	-1021	-636	-1464	-197	56	-21	368	1372	308	94	
252	225	295	33	-248	-1732	-910	-1895	-224	12	80	1503	1490	547	31	
343	33	177	66	-372	-1471	-968	-1334	-258	136	288	1588	850	308	23	
135	162	146	156	-305	-876	-925	-918	-224	104	296	1300	381	282	78	
376	166	91	30	-234	-441	-347	-1033	-384	-156	536	876	150	186	15	
