-105	-48	157	-80	-86	-151	-204	-184	105	96	208	310	0	19	-87	-223	-60	-197	
-86	16	240	-2	-104	-240	-232	-259	-105	48	344	382	156	79	-213	-215	-145	-276	
-63	-42	290	152	-80	-354	-314	-339	-312	176	1091	1164	166	118	-285	-119	-309	-291	
134	153	193	16	-14	-1050	-867	-470	-388	-61	1415	927	468	189	-285	-126	-285	-276	
135	91	149	-31	-296	-1268	-982	-903	-706	-27	1245	1232	1625	387	-199	-237	-329	-283	
64	-181	149	8	-179	-1094	-205	-418	-520	-102	631	673	867	205	-80	-291	-310	-317	
167	-223	107	-63	180	-238	-96	-41	-204	-189	96	-81	166	-14	-27	-67	-152	-147	
-42	-279	-215	-201	263	229	521	511	-7	-304	-444	-567	-280	-373	-14	117	195	30	
-321	-555	-944	-242	351	1763	2051	1458	476	-223	-1551	-1413	-1822	-1118	23	148	437	303	
-698	-807	-1077	-332	1023	2062	3099	2326	291	-351	-2840	-2765	-2467	-1802	-73	344	406	341	
-457	-659	-1180	-263	1041	2537	3589	2379	1274	-243	-2500	-3512	-2579	-1844	-87	397	359	303	
-266	-644	-915	-595	528	2044	2942	2170	826	-216	-2203	-2878	-2551	-1941	157	478	331	260	
-321	-167	-370	-298	222	1535	2208	607	-20	-54	-1396	-1920	-1317	-951	259	423	358	69	
-321	-237	-312	-227	16	286	514	-150	201	40	-291	-302	-321	-47	236	-126	7	15	
-70	-123	-284	-204	-62	-268	-621	-745	-56	96	152	326	325	513	-54	-126	-165	-144	
-72	100	157	-242	-255	-876	-1387	-1579	-446	136	328	1181	1187	915	-259	-126	-408	-284	
-133	241	286	-138	-480	-1558	-2022	-1938	-285	313	443	1859	1507	1249	-325	-658	-428	-315	
209	216	155	-138	-385	-1283	-2181	-1593	-224	337	938	1622	1136	865	-54	-327	-329	-260	
-91	108	112	-21	-363	-1079	-1055	-1004	-129	329	1193	927	732	420	23	-265	-290	-217	
-70	116	87	-69	-434	-731	-708	-530	-265	201	989	494	442	355	-7	-133	-241	-192	
