-112	-143	-97	-85	-97	-281	-96	-702	96	132	192	302	166	112	-2	
-85	-133	-56	-63	-152	-292	-451	-946	-195	112	400	310	111	102	102	
0	175	-28	-104	-207	-281	-419	-889	-41	64	472	406	210	221	-80	
167	166	137	-18	-234	-601	-809	-1018	-251	96	584	555	377	339	-60	
184	241	273	132	16	-1326	-780	-1018	-116	-108	397	792	404	331	165	
83	178	145	8	74	-1645	-417	-483	-177	-29	320	588	206	187	86	
175	33	124	-221	-131	-261	179	-320	-224	-149	112	-81	-41	126	102	
100	-91	-250	-360	386	393	1090	324	-55	-487	-518	-948	-490	-504	-40	
-49	-244	-635	-682	758	1429	1684	1788	307	-358	-2075	-1737	-1275	-1160	-126	
-280	-541	-1224	-902	1218	2150	2680	2778	601	-601	-2840	-2624	-2131	-1830	-133	
-433	-1265	-1386	-521	1235	3204	3921	3143	929	-311	-3166	-3822	-2060	-1746	-113	
-280	-1132	-1077	-785	387	2941	3047	2361	550	-250	-2599	-3258	-2257	-1746	39	
-259	-821	-473	-366	156	1834	1981	1319	308	-210	-1311	-1793	-1219	-937	157	
-105	-411	-222	-346	-138	253	448	156	170	-149	-319	-567	-301	31	82	
234	-28	-132	-263	-312	-309	-41	-300	-41	-68	-54	183	325	434	141	
291	144	199	-132	-538	-1326	-383	-1176	-383	-27	104	910	1035	865	78	
110	116	298	-7	-379	-2298	-2123	-2038	-285	120	477	1944	1136	764	-60	
41	108	349	0	-372	-1602	-1748	-1665	-366	361	443	1605	850	614	346	
99	208	439	49	263	-572	-823	-1176	-298	273	597	1063	716	450	165	
184	175	439	99	37	-309	-636	-989	-149	16	405	656	418	126	15	
