-200	-388	-366	-117	-14	415	216	-14	
-407	-471	-256	-117	204	578	454	94	
-418	-547	-345	-165	278	676	781	80	
-1043	-1253	-1122	-310	147	933	851	403	
-600	-1489	-1312	-303	638	1160	625	500	
-555	-1268	-814	-427	302	811	538	352	
41	-118	-242	-365	-151	-239	56	347	
870	564	256	-214	-833	-1286	-961	-34	
1860	3587	1485	32	-1631	-2239	-2656	-183	
1914	3462	1770	213	-2052	-2455	-3030	-298	
1662	2711	1058	172	-1573	-2080	-2168	-319	
1194	1422	495	263	-804	-1040	-989	-265	
-28	240	-201	172	32	-137	-327	-218	
