-35	107	-201	-248	-514	-280	-252	137	16	72	107	-47	-27	-133	-106	-142	-199	
-77	124	-56	-337	-746	-464	-368	-138	-68	224	334	-47	79	70	-185	-199	-240	
43	99	24	-379	-1079	-405	-774	-251	24	456	378	15	79	39	-284	-228	-322	
8	207	16	-727	-978	-896	-975	-387	152	1330	707	230	134	-20	-699	-377	-469	
-105	22	-69	-289	-949	-1502	-673	-387	72	1142	826	381	379	-27	-345	-329	-279	
-29	-77	-173	-262	-1094	-809	-456	-312	-189	955	382	15	268	62	-324	-290	-189	
-120	-243	-161	49	-48	73	-41	-156	-88	296	-7	-141	39	-50	-298	-27	-92	
-160	-305	-276	320	483	701	462	129	-277	-330	-765	-700	-353	0	141	241	-46	
-230	-944	-104	740	1623	1772	2153	363	-291	-1509	-2413	-1612	-1062	-146	484	390	125	
-285	-1489	-311	316	2080	2785	2587	895	-544	-2812	-2977	-1906	-1676	-179	666	609	367	
-260	-1386	-263	493	2695	3274	2500	1568	-264	-3406	-3244	-2874	-2234	-186	831	562	365	
-274	-1165	-332	1218	2414	2872	2031	1326	-162	-2698	-3160	-2607	-2011	0	583	444	186	
-313	-444	-352	369	1043	1265	660	204	0	-1608	-2089	-1373	-1216	165	298	351	36	
-279	-284	-173	19	73	301	-75	32	-54	-404	-948	-401	-153	314	94	62	-195	
108	-132	-168	-193	-543	-164	-760	-215	-105	-128	15	388	411	256	-60	-53	-315	
158	33	-173	-330	-1181	-925	-1679	-163	-21	152	741	1187	731	362	-119	-185	-260	
216	38	-304	-420	-1674	-1964	-1478	-488	225	529	1774	1709	982	-206	-195	-237	-233	
83	207	-166	-946	-1486	-1603	-860	-387	289	563	1622	1860	396	181	-218	-297	-204	
91	134	90	-625	-528	-809	-788	-387	80	904	893	1305	300	126	-212	-278	-311	
58	42	0	-582	-412	-116	-673	-271	-21	784	792	452	329	236	-258	-291	-378	
-7	-21	-97	-275	-302	-240	-328	-61	80	528	317	381	331	-133	-238	-389	-251	
