16	49	-35	8	49	-198	-361	-278	-419	-271	-215	-7	0	401	220	-27	17	4	-78	-333	8	
-84	158	206	228	147	-287	-630	-435	-1156	-229	-369	63	94	806	748	179	93	-92	-197	-548	-104	
-174	120	140	551	155	-144	-875	-663	-1626	-815	-877	-47	-14	2002	1706	773	435	-113	-350	-919	-289	
70	356	115	723	0	-55	-1262	-1521	-2110	-843	-680	-211	-140	2086	2185	1364	596	108	-171	-1155	-481	
166	310	404	470	352	-62	-1435	-792	-1626	-914	-510	-216	-80	789	1723	1381	419	123	-222	-855	-496	
200	113	247	403	24	-273	-1406	-835	-744	-574	-510	-61	134	448	814	888	85	47	-104	-422	-308	
-105	-305	-56	-165	-179	-206	-266	-14	48	-34	-215	-114	-80	291	-34	218	38	85	157	-126	52	
-28	-423	-302	-482	-279	-103	73	411	1013	368	111	0	-193	-305	-1127	-303	-289	7	481	61	78	
-186	-427	-492	-640	-350	81	416	1809	2677	2489	673	31	-227	-1510	-3212	-1639	-1538	92	607	994	446	
-299	-606	-1034	-1311	-354	171	1736	3483	4083	3887	1690	-14	-700	-2495	-4373	-2711	-2851	-1235	1666	1410	767	
-285	-547	-1532	-1835	-1138	260	1753	3829	4443	4466	2791	238	-867	-3370	-5436	-3261	-2714	-2595	1780	1126	1183	
-600	-900	-1078	-1981	-1341	627	2292	4398	4495	4841	2808	301	-1132	-3578	-5436	-3453	-2769	-1983	520	1259	1296	
58	-664	-917	-1325	-804	627	1944	2620	3328	3580	2401	63	-672	-2759	-4069	-2656	-2782	-1534	1024	1504	358	
-72	-368	-580	-727	-485	187	1024	1240	1682	2455	1351	-287	-306	-1690	-2632	-1447	-2755	-680	541	900	43	
-28	-181	-242	-365	-290	97	275	436	337	682	326	-201	-94	-471	-809	-448	-473	-379	73	87	-104	
-7	0	-125	394	22	-185	-313	307	-502	-108	-148	-421	-118	-20	219	0	-33	-20	43	-92	-474	
-7	8	206	1288	171	-342	-1133	-592	-1199	-1636	-638	-441	63	621	1062	561	155	-57	-378	-23	-195	
-12	24	827	1377	466	-321	-1636	-1807	-2295	-2160	-1272	-252	158	1155	2119	1397	225	16	-592	-651	-59	
-153	365	421	864	352	-321	-1449	-1264	-2850	-2543	-1427	-448	237	1437	2846	1627	857	139	-548	-463	-237	
13	182	151	617	196	-226	-1234	-1235	-2394	-2500	-1201	-354	300	1504	2482	1627	873	7	-349	-415	-252	
-35	154	437	444	186	-82	-774	-1336	-1654	-1721	-821	-41	347	1205	1822	855	357	100	-183	-378	-239	
-91	33	329	180	57	-110	-601	-1221	-1412	-999	-779	-154	237	1121	732	444	312	255	-104	-333	-163	
