-169	-71	-162	-422	-620	-477	-290	-226	350	62	-43	
-24	-28	-91	-600	-1592	-580	-303	90	395	154	32	
14	75	-49	-792	-1489	-1049	-399	327	565	372	250	
16	302	-112	-526	-1695	-1254	-200	638	898	521	355	
50	123	41	-984	-1592	-609	-262	352	627	324	83	
-218	100	46	-21	-298	-97	-110	73	105	-68	-170	
-366	-78	67	366	886	388	-28	-238	-1040	-961	-502	
-654	-267	125	1284	2657	1699	180	-1457	-2744	-2053	-864	
-1002	-943	-112	1932	2979	2215	444	-2313	-3004	-2958	-578	
-852	-600	-314	1500	2567	1236	345	-1196	-1834	-2053	-606	
-687	-197	-259	816	1440	898	156	-369	-607	-932	-204	
-176	-141	-363	8	141	8	-110	-233	-48	-415	113	
50	-92	-275	-348	-430	-609	-104	73	497	-109	6	
37	-85	-132	-200	-650	-697	-172	499	692	399	96	
-74	-57	33	-186	-1150	-1005	-159	343	507	462	-14	
46	126	83	-333	-767	-565	-200	114	350	300	48	
77	59	-42	-215	-267	-433	-7	150	479	202	59	
160	75	6	-216	-596	-353	131	16	227	162	5	
