-154	-570	-409	-449	-215	-213	171	23	58	
75	-289	-458	-741	-117	-90	309	105	32	
150	-437	-532	-609	-186	-124	415	-62	-82	
-164	-762	-900	-726	-266	-131	562	300	88	
-283	-792	-709	-628	-21	131	898	851	395	
-119	-437	-1180	-639	-193	955	1160	798	371	
-98	-733	-1238	-390	-303	691	933	660	355	
58	-292	-167	-35	-131	-90	244	-68	-312	
184	175	1082	596	57	-369	-939	-1320	-393	
318	1320	3194	1254	-7	-1123	-1878	-2441	-735	
343	1662	3480	1361	-83	-1761	-2137	-3231	-892	
234	1554	2818	1058	509	-1210	-2715	-2096	-346	
162	425	1744	774	485	-992	-1156	-961	-183	
67	-167	528	-76	279	-194	-82	-279	105	
