-63	-216	-430	-373	-208	-107	105	-82	-56	
-7	-258	-373	-296	-165	-137	293	129	48	
-46	-230	-395	-270	-195	-90	399	227	153	
0	-866	-513	-318	-255	24	513	227	315	
-243	-910	-723	-635	-172	147	706	397	259	
-105	-821	-856	-1005	-289	867	881	798	460	
-189	-866	-1106	-668	-262	515	440	660	638	
33	-237	-229	-235	-185	-117	-76	-62	80	
83	158	506	355	-124	-717	-1184	-1349	-170	
234	1374	1995	1450	254	-1819	-2166	-2053	-366	
477	1860	2478	1574	337	-2153	-2426	-2987	-306	
167	1518	2299	952	435	-1790	-2340	-2469	-414	
301	960	1082	338	4	-1196	-809	-1334	-204	
