-357	-178	-211	-342	-292	-319	-366	-275	-237	-76	-198	-34	225	360	310	269	165	117	86	-33	
-196	-120	-263	-538	-319	-423	-1122	-378	-528	-221	-198	48	402	440	318	331	206	165	54	-90	
-283	-268	-183	-415	-378	-738	-1664	-727	-963	-82	-108	40	635	648	673	666	383	377	-179	-129	
-213	-233	-290	-559	-1043	-1135	-2118	-1252	-1573	-328	-191	161	1339	870	910	1793	284	233	-159	-128	
-276	-268	-183	-583	-1590	-2460	-3495	-2725	-2052	-519	-218	282	1750	2097	1723	2348	814	432	70	-119	
-218	-254	-585	-1474	-2596	-3093	-4535	-3395	-2342	-751	-177	377	1922	3205	3214	3291	1383	1055	203	-2	
-163	-282	-883	-1771	-3616	-5389	-5912	-3381	-2124	-267	-191	347	961	3921	4332	4773	2253	2152	203	102	
-219	-408	-1092	-2262	-4445	-6611	-6132	-2244	-1239	-82	-293	24	217	3921	4637	5850	3190	2318	462	78	
-219	-303	-1973	-2722	-5140	-6979	-6381	-1456	32	933	-29	-434	0	3086	5365	6304	3708	2501	1128	273	
-226	-627	-2481	-3049	-5775	-8274	-6307	-873	270	1789	-320	-1135	-445	2762	5857	7516	3976	2917	1194	476	
-191	-359	-1869	-2960	-5154	-8142	-6264	-344	221	2540	-476	-1307	-715	2983	5484	7180	4361	2867	1012	257	
-304	-447	-1525	-2960	-4992	-8613	-7230	-669	-131	1789	-1133	-1150	-216	3171	5077	6826	4026	2501	996	319	
-269	-127	-1555	-2262	-4223	-7803	-6630	-1865	-391	1318	-630	-463	201	3938	4993	5968	3692	1670	525	358	
-226	-289	-1062	-1311	-3469	-6523	-5487	-2666	-1355	635	-402	8	530	4603	5010	4655	3173	1404	125	273	
-191	-243	-286	-266	-2389	-3917	-4506	-2331	-1529	171	-587	234	1047	4211	4044	3190	1918	590	-67	202	
-688	-204	-209	-56	-1945	-2401	-3392	-2156	-1558	16	-143	307	653	3733	3265	2012	798	369	-139	148	
-824	-92	-288	-168	-895	-576	-2338	-1442	-1283	171	-306	492	434	2659	2147	1120	814	448	56	70	
-362	-230	-301	-335	-585	-423	-1430	-1369	-1123	-144	-530	125	394	2046	1232	238	379	149	-152	15	
-287	-162	-162	-262	-319	-312	-595	-475	-601	-260	-248	145	233	835	518	-261	237	-20	-251	-69	
