50	-14	-42	-73	-83	-180	-239	-616	193	16	320	255	103	0	-7	-111	-93	-99	
14	-35	-84	-64	-90	-934	-389	-179	-14	136	496	271	119	63	-179	-185	-111	-243	
26	-42	-58	-7	-207	-1297	-335	-252	-28	48	335	344	341	252	-160	-150	-235	-190	
117	-77	63	7	-124	-1108	-766	-456	-427	-61	592	430	531	308	-166	-166	-198	-223	
33	42	59	-125	-379	-1399	-1358	-1119	-366	-108	1006	1097	1052	865	55	-173	-244	-250	
74	50	33	-187	-324	-1138	-823	-1033	-238	-108	801	605	277	197	173	-72	-7	-276	
75	66	-250	-221	49	-83	97	-34	-131	-54	288	39	-14	181	56	6	140	-54	
-7	-119	-374	-283	394	491	1440	764	-197	-304	-478	-257	-462	-207	-49	172	366	61	
-475	-299	-473	-243	740	1693	2226	1667	185	-270	-1636	-1976	-1738	-1230	55	368	445	155	
-539	-600	-974	-565	1341	2115	3973	2465	342	-372	-2712	-3075	-2719	-2137	-179	880	724	186	
-358	-422	-885	-304	1624	2870	4392	3195	843	-169	-3463	-3442	-2593	-2039	86	880	1249	101	
-245	-245	-576	-318	970	2220	2907	2656	498	-162	-2274	-3216	-2677	-1913	47	616	1020	262	
-168	-263	-291	-167	213	1043	1894	1024	-20	-14	-1254	-1582	-1682	-1104	-14	478	806	-66	
-154	-69	-84	-272	16	131	366	89	-7	-61	-603	-188	-546	-67	48	-7	327	-92	
175	225	174	-97	-14	-432	-130	-587	-251	-7	120	159	285	482	283	-185	-165	-159	
301	254	132	-276	-427	-1021	-925	-1694	-285	24	464	605	1793	1300	188	-381	-308	-297	
290	162	-28	-249	-567	-1094	-2210	-2369	-529	88	716	1215	2012	1534	15	-547	-389	-331	
177	133	-28	-195	-480	-775	-1820	-2340	-359	56	392	978	1574	1500	102	-298	-336	-321	
159	156	149	-21	-234	-441	-737	-1593	-170	144	240	893	1254	1216	-7	-409	-237	-297	
108	183	90	57	-83	-281	-164	-889	-68	-34	248	279	373	379	228	-122	-172	-239	
