92	100	53	78	107	-255	-325	-288	-300	-62	24	208	334	196	126	-166	
36	67	94	107	-22	-317	-485	-390	-347	-319	136	536	350	223	173	-7	
-36	83	150	149	16	-234	-1036	-1083	-1004	-475	152	972	470	303	252	-1	
58	118	135	86	-28	-553	-949	-896	-1133	-449	168	1040	843	269	252	78	
84	92	41	-3	-132	-344	-1065	-294	-483	-210	56	699	334	15	77	110	
159	-49	16	-7	-258	139	-252	228	-109	-156	24	280	-248	-394	-67	306	
-47	-84	-126	-201	-49	460	131	986	430	37	-196	-290	-1032	-728	-616	314	
-71	-335	-333	-520	-194	740	1271	2540	1840	72	-432	-1636	-2047	-1598	-1118	-73	
-302	-559	-703	-520	-304	917	1851	3886	2691	339	-378	-3109	-3315	-2593	-1732	-73	
-645	-627	-555	-871	-69	1006	2554	4427	2934	860	-122	-3038	-3794	-2271	-2220	55	
-943	-287	-659	-1032	-387	634	2097	3379	2170	739	-102	-2486	-3456	-2032	-1899	149	
-428	-56	-452	-503	-359	361	1535	1789	1389	481	-41	-1098	-2033	-1472	-588	212	
-330	-28	-411	-284	-138	41	302	293	162	222	-108	-334	-976	-401	-60	177	
-71	184	-14	-139	-159	-110	-499	-737	-745	121	56	16	7	285	577	338	
58	527	141	141	-96	-200	-1021	-1473	-1564	32	168	304	216	1136	1249	118	
185	313	33	241	-166	-337	-1428	-1690	-1909	-183	305	921	1097	1490	1216	-365	
16	189	131	95	-97	-351	-1399	-1242	-1809	-278	176	529	1097	1625	865	-173	
-36	84	25	107	-140	-625	-920	-410	-1191	-359	152	477	1097	1237	505	-60	
-64	-26	42	190	57	-468	-818	97	-903	-244	24	504	792	850	630	-93	
0	-10	-21	56	-82	-303	-137	-218	-673	-116	32	120	317	648	379	94	
-78	-64	-146	-35	-138	-246	-199	-157	-501	64	8	-54	239	-21	126	204	
