-195	-624	-373	-220	-144	301	-204	-84	
-133	-1194	-668	-234	8	566	129	-95	
-526	-1312	-595	-255	24	684	292	-258	
-1043	-1062	-1137	-234	-28	741	210	-48	
-348	-1077	-1107	-282	122	1143	833	193	
-467	-753	-1679	-241	515	1789	555	242	
-329	-576	-873	-365	335	1213	538	242	
-7	-91	-111	-117	-35	163	-109	-89	
491	886	471	90	-470	-910	-1033	-366	
1518	2460	2126	312	-1239	-2282	-2455	-377	
1554	2943	2090	542	-1994	-3206	-3174	-231	
1356	2764	1592	328	-1921	-2744	-2153	-663	
533	431	720	32	-1021	-1719	-1033	-721	
