-282	-67	186	191	412	331	-22	-567	-258	-86	-270	-389	-387	-246	-50	-7	-34	29	7	-28	122	26	-35	-203	-216	-275	-229	-200	
-118	38	148	88	282	200	-226	-467	-321	-271	-284	-688	-366	-288	83	41	-21	57	57	152	252	124	24	-150	-174	-195	-234	-134	
-42	-177	283	440	430	78	-22	-391	-458	-730	-390	-718	-661	-274	276	122	165	148	518	327	578	194	-7	-135	-135	-191	-247	-87	
-13	-177	434	449	360	61	-224	-614	-443	-1186	-1306	-989	-626	-435	83	8	556	206	1041	1095	578	373	-21	-102	-364	-187	-212	-32	
-66	176	956	546	500	-44	-123	-890	-840	-1931	-1760	-1351	-1272	-436	-27	351	1190	809	952	1359	1160	251	-231	-264	-461	-175	-161	-7	
-67	-8	579	944	394	-131	-202	-491	-1879	-2829	-1564	-1788	-1332	-824	-140	233	1047	1201	1394	1464	986	538	153	-687	-744	-525	-187	-107	
143	71	425	1214	359	-217	-1167	-1043	-2520	-2570	-2093	-1803	-1182	-719	58	375	1351	1325	1642	1904	1789	1128	169	-277	-957	-948	-247	-114	
31	133	258	1137	579	-275	-1013	-1458	-2245	-2007	-1503	-1909	-1452	-1018	-56	408	635	1201	1448	1025	1580	1910	210	-135	-957	-891	-252	-213	
26	284	611	1349	175	-501	-859	-1458	-977	-1353	-1004	-1788	-1827	-344	-217	416	487	560	528	131	603	1875	619	-129	-1240	-342	-217	-186	
-59	133	296	370	254	-501	-813	-460	34	-608	-163	-1231	-1437	-127	-280	150	340	156	189	-485	244	746	808	144	-545	-168	-194	-173	
-155	-309	70	-161	-167	-312	-303	-51	473	51	25	-327	-792	277	-113	-56	-215	-159	-152	-1036	0	97	415	618	-7	7	-147	-7	
-303	-252	-139	-379	-252	-275	104	564	1014	291	255	-29	67	580	-391	-285	-753	-668	-351	-1442	-448	-659	137	704	324	382	-81	71	
-266	-257	-81	-1443	-184	183	1239	2147	2326	1346	1741	1383	456	761	-479	-1147	-2166	-1825	-1442	-2342	-1820	-1751	-271	944	2233	1283	150	413	
-828	-1376	-1255	-2005	-402	559	2414	2713	3507	2203	3964	2820	800	834	-1415	-1457	-3932	-3451	-2477	-2835	-2137	-2814	-635	910	2796	1690	420	530	
-450	-1486	-3515	-2208	-604	419	2433	2713	3488	2482	5168	3778	2027	925	-1578	-1309	-5522	-4286	-3352	-2748	-1632	-3245	-1407	1047	2472	1452	1187	865	
-258	-1565	-3672	-3552	-309	365	3608	2694	3282	3004	6317	4146	2375	834	-1385	-1916	-6390	-5238	-3643	-3082	-1964	-3245	-1965	434	2438	1927	901	848	
-384	-1612	-2965	-3849	-511	898	3854	2619	3638	3135	6521	4625	2705	761	-999	-2197	-6052	-5443	-3774	-2908	-2455	-3360	-2565	670	3171	2723	951	848	
-303	-1029	-2746	-3443	-1071	1298	3551	1884	2982	2836	5446	4017	2778	761	-1043	-2700	-5227	-4110	-3148	-2501	-2224	-3447	-1936	533	2847	2045	1355	597	
-512	-1534	-1930	-2958	-1086	936	2262	1752	1708	1942	3445	3299	1825	452	-433	-1871	-3461	-2777	-2127	-1994	-1271	-2182	-964	361	2080	1418	722	221	
-417	-1313	-1223	-1943	-1211	218	746	640	808	1234	2296	1899	1496	-15	-42	-777	-1238	-1825	-1077	-963	-607	-1981	-332	297	1313	707	404	47	
-199	-147	88	-552	-1833	-275	339	338	514	402	443	492	904	-64	134	-299	91	-373	-553	-789	-953	-1334	-102	237	320	521	134	39	
-112	37	372	123	-1164	-1074	217	86	508	17	-468	-297	439	-120	376	-7	760	74	-255	-302	-164	-259	395	90	-390	-242	-54	-12	
35	35	549	713	-204	-1647	-1013	-476	-702	-289	-1276	-1080	-218	-134	233	325	2228	969	457	319	968	538	364	120	-928	-1187	-321	7	
127	365	1459	1407	166	-1338	-1738	-1320	-2429	-1521	-1927	-1743	-296	-113	368	654	3068	1467	1306	1464	1737	1580	403	-142	-1424	-1624	-602	-200	
226	409	1886	2043	1365	-579	-2015	-2148	-2872	-2159	-2517	-2225	-345	33	422	870	3355	2108	1306	1728	1510	2014	444	-237	-1905	-1779	-658	-318	
125	454	1808	2062	1882	-656	-1923	-2194	-2719	-1931	-2563	-1803	-762	-71	418	1086	2621	1930	1571	1482	1492	1371	412	-459	-1707	-1159	-548	-253	
80	160	708	2062	943	87	-982	-1934	-2964	-1597	-1897	-1592	-1122	-267	309	744	2800	1930	1783	1763	1475	920	500	-459	-1240	-990	-454	-240	
205	243	510	1908	447	-15	-475	-951	-1757	-1156	-1609	-1291	-1092	-365	117	618	2335	1450	1730	814	933	121	177	-601	-1127	-638	-321	-200	
12	97	531	1060	131	104	-296	-280	-550	-513	-746	-869	-408	-323	-14	466	1566	863	1076	311	-41	-14	-122	-358	-957	-356	-221	-231	
