-45	112	34	119	68	-212	-331	-257	-349	-585	-485	-235	-214	-179	124	340	412	176	580	550	201	79	-7	-139	-195	-158	
-29	17	195	317	136	-311	-549	-239	-657	-910	-959	-551	16	-26	138	210	412	361	1210	758	222	173	-113	-192	-262	-309	
60	174	413	445	-15	-22	-654	-406	-1147	-1117	-1180	-814	-272	-233	244	243	395	944	1654	1215	901	434	-179	-879	-415	-353	
129	207	448	675	-86	135	-1632	-883	-1222	-1472	-1518	-917	-55	-21	472	146	492	996	1909	1554	1406	355	-120	-823	-870	-515	
103	234	499	423	32	-78	-1767	-1182	-1400	-1043	-1342	-1137	-90	222	393	178	476	1064	1671	1215	1608	1283	173	-519	-719	-499	
156	265	265	285	-128	-372	-1827	-943	-865	-570	-506	-419	-193	168	319	300	8	289	580	978	1877	1567	573	-271	-787	-540	
264	406	639	582	-142	-537	-1392	-674	-412	-112	-381	-242	-207	-55	78	-7	-183	16	120	454	1658	1801	307	-172	-554	-527	
295	328	300	-22	-362	-779	-507	-239	-70	283	-319	-139	-188	-85	57	-238	-202	-216	-249	-34	214	1166	440	117	-198	-284	
-274	-44	258	-249	-405	-568	-71	159	394	1086	66	57	-193	-151	-87	-225	-326	-544	-617	-849	-14	324	506	312	-7	23	
-332	-115	-543	-1156	-440	-318	213	834	1516	1374	464	305	-51	-56	-237	-515	-332	-1299	-1311	-1441	-661	-306	448	633	257	186	
-551	-399	-596	-1521	-121	110	1679	1727	2241	1752	647	560	192	8	-287	-1377	-1121	-1526	-1523	-1370	-1444	-1090	-120	412	691	255	
-412	-936	-1543	-1232	-149	572	2558	2073	2512	1428	788	1005	254	57	-867	-2182	-1850	-1839	-2089	-1892	-1710	-1732	-173	446	1167	77	
-483	-1151	-2184	-1536	102	977	3089	2018	2965	1698	939	1379	1147	57	-795	-2182	-1564	-1910	-2132	-2554	-1668	-2025	-391	418	1692	743	
-490	-1826	-2811	-1764	324	1825	3932	1544	2748	1338	1208	1788	1324	24	-823	-2527	-2165	-1597	-2557	-2540	-2145	-2541	-705	525	1102	612	
-144	-1442	-2093	-1855	426	1806	4060	1690	2820	1284	1243	1788	1571	65	-1444	-2556	-2379	-1227	-2472	-2117	-1794	-2513	-709	781	1446	466	
-348	-936	-2337	-1810	179	701	2869	1399	2132	978	1422	1396	1624	81	-1459	-2326	-1707	-1142	-1962	-2005	-1542	-1983	-451	649	1528	1020	
-252	-266	-1451	-1186	-199	277	1825	1162	1480	726	1279	756	546	90	-403	-1449	-1021	-1000	-1141	-1737	-1626	-1411	-80	1145	1430	870	
-170	-108	-840	-1171	-671	-120	1074	761	1734	400	617	223	123	59	8	-429	-749	-1128	-829	-1187	-1289	-853	259	511	452	466	
-137	-101	-200	-321	-529	-572	371	439	510	358	605	-104	-214	16	138	-184	-578	-388	-107	-309	-421	-34	354	188	-191	-73	
-72	363	25	-86	-549	-794	-345	117	-14	-251	91	-359	-669	-206	350	-14	-183	-146	-7	-27	-194	173	598	-139	-251	-259	
156	291	266	265	-519	-1050	-1647	-898	-627	-496	-63	-829	-932	-370	177	202	290	-89	448	470	190	1199	708	-225	-323	-473	
208	380	471	250	-447	-1246	-2097	-2003	-1474	-1176	-222	-902	-902	-192	127	191	517	193	1142	876	222	2002	385	-547	-938	-1060	
199	508	1052	712	-78	-733	-1842	-2257	-1667	-1753	-296	-1224	-713	-268	86	260	468	687	1790	1622	631	1484	-107	-1293	-1433	-2017	
155	328	1314	973	204	-342	-1347	-2227	-1593	-1309	-1121	-1298	-440	-103	228	486	411	996	2012	1385	1254	497	-266	-989	-1213	-1593	
86	294	302	731	-93	-226	-792	-1436	-1162	-1369	-561	-1268	-200	10	537	677	791	893	1483	1300	1372	395	-213	-906	-471	-459	
74	285	232	445	-22	-106	-233	-719	-1341	-1132	-517	-536	-117	78	464	467	688	233	716	1283	571	71	-20	-699	-376	-401	
-116	138	180	274	102	-57	-57	-344	-939	-600	-485	-463	-188	-42	-28	40	452	321	456	843	198	-40	-411	-575	-421	-387	
