-245	-236	-23	-44	238	210	314	60	-101	-217	-251	-454	-403	-309	-136	134	25	165	272	328	101	32	-28	-217	-27	-303	-101	-7	
-200	-155	26	88	352	359	255	78	-173	-489	-164	-852	-396	-240	-71	139	100	257	667	419	171	275	227	-224	-237	-404	-81	-74	
-141	-67	124	327	592	456	270	-8	-230	-1084	-502	-1321	-1155	-261	-239	64	233	957	507	705	849	671	373	-217	-260	-475	-148	-121	
-74	-96	151	522	423	605	-15	-303	-373	-1283	-1353	-1488	-1577	-570	-406	125	408	1691	1094	1483	937	811	219	-292	-530	-1027	-181	-234	
-89	29	376	1227	944	728	-37	-252	-706	-2108	-2159	-2003	-2044	-1497	-286	8	266	1798	1379	1677	1711	1230	235	24	-573	-1268	-821	-261	
-52	90	97	1246	1137	620	-383	-905	-1105	-2291	-2205	-2215	-1924	-1257	-600	-49	450	1566	1503	2279	2062	2243	833	129	-297	-1098	-835	-401	
-30	121	284	994	1484	1001	-641	-936	-905	-2154	-1521	-1443	-2481	-1242	-271	67	416	1512	952	2190	1025	1737	1458	412	-274	-390	-666	-267	
-60	143	347	723	1599	500	-997	-1614	-690	-1497	-1247	-1427	-1622	-1032	-176	-133	510	1226	667	457	57	595	1701	964	-196	-560	-610	-321	
44	152	151	638	414	254	-997	-813	-266	-165	-350	-681	-1095	-429	-215	-175	341	331	256	115	-384	57	521	1395	-7	-290	-369	-194	
0	51	-8	638	-168	-138	-1028	26	199	292	-29	-369	-262	-268	-78	-91	100	141	-90	-14	-949	-62	-89	808	567	200	-181	7	
-222	-145	-155	345	-505	-291	-318	417	715	1239	308	281	365	-99	328	-210	-251	-513	-712	-480	-1863	-434	-860	161	1133	716	95	63	
-333	-251	-500	-517	-1474	-137	270	1031	1639	2026	1048	1444	1346	452	227	-377	-1088	-1916	-1766	-1879	-2690	-1820	-1938	-258	927	2097	1283	285	
-309	-391	-1581	-1459	-1818	-651	288	2168	2336	2476	1905	4020	2580	1459	506	-252	-1398	-3682	-3231	-2550	-3212	-2152	-2872	-749	893	2762	2232	766	
-356	-1113	-1250	-2243	-2818	-775	803	2641	2675	3788	3209	5594	4164	2485	980	-398	-1857	-4800	-4037	-3702	-2690	-1805	-3116	-1035	1116	3051	1977	1574	
-356	-812	-1707	-2447	-3583	-137	650	3229	3146	3788	3340	7244	4367	3162	1162	-419	-2212	-5168	-4974	-3366	-2646	-1748	-3289	-2179	418	3086	2367	1254	
-333	-717	-2275	-3044	-3286	-44	708	3362	2562	3863	3340	7447	4533	3034	1107	-1014	-2271	-5816	-5341	-3847	-2792	-1863	-3274	-2122	434	2949	2740	985	
-363	-1050	-1786	-2856	-3443	-486	559	2698	2713	3301	3507	6484	4183	3107	761	-573	-2345	-4624	-4227	-2943	-2719	-1704	-3418	-1650	128	2898	2265	1170	
17	-654	-1439	-1584	-2333	-713	555	2793	2147	2439	2482	4575	2801	3162	336	-245	-1250	-3579	-2514	-1938	-1660	-1069	-2570	-522	80	1926	1215	666	
26	-273	-840	-1145	-1833	-900	78	1504	1205	1820	1309	2241	1917	2063	-29	201	-363	-1945	-1239	-1588	-1108	-838	-1650	-34	128	972	239	87	
-136	-369	-243	70	-818	-1553	-311	469	164	902	731	76	339	507	-127	268	-216	-21	-359	-379	-717	-526	-1119	129	152	144	167	-107	
-67	-183	-74	451	-66	-1164	-966	-252	-165	111	128	-482	-628	-120	-480	385	-35	1011	198	82	-470	105	-218	929	209	-404	-329	-334	
-134	-222	543	1440	449	-291	-1214	-844	-1304	-172	-207	-1231	-1005	-359	-202	460	744	2621	1521	387	319	1440	454	1947	56	-1013	-1244	-336	
-74	329	1930	2351	1118	245	-1167	-1614	-2118	-947	-897	-1806	-1713	-380	-51	519	1050	3212	1912	1182	1746	2663	1163	1516	-304	-1495	-1751	-532	
-30	-317	1326	1672	1773	1212	-749	-2555	-2501	-2337	-1582	-2911	-2240	-1152	-141	380	726	3391	2499	1837	1992	2104	1198	508	-473	-2019	-1060	-448	
-74	3	742	1459	1831	1384	-246	-2123	-2394	-1787	-1703	-3380	-2270	-1242	-253	418	456	3033	1948	1960	1869	1615	816	250	-971	-1920	-877	-771	
89	57	374	1614	1310	867	-29	-1352	-1642	-1558	-1764	-2290	-2135	-1107	-358	309	456	2711	1734	1589	1834	1702	486	210	-886	-1452	-567	-448	
28	-7	97	1246	1465	732	34	-576	-1089	-1757	-1430	-1912	-1713	-1002	-358	67	291	1941	1005	1288	1025	1038	139	-122	-573	-1183	-362	-340	
-106	2	195	593	1445	114	78	-375	-783	-479	-943	-913	-1442	-687	-365	-91	133	2084	667	180	335	24	0	-346	-405	-316	-275	-254	
-178	-74	115	469	705	257	192	-281	-294	-325	-426	-86	-1200	-254	-306	-266	16	528	313	139	-76	154	-150	-273	-351	-88	-248	55	
