-242	-128	-163	-145	-201	-182	-320	-326	-249	-742	-473	-175	-340	24	40	64	31	468	300	472	125	-27	-230	-77	113	
-107	-29	-50	-64	-323	-7	-733	-451	-390	-888	-833	-41	-458	201	160	272	295	1288	379	756	352	78	9	24	115	
-57	0	-40	-22	-435	-865	-955	-709	-961	-530	-1428	-267	-630	234	305	341	859	2500	865	1138	699	210	58	50	184	
-129	-149	-85	-136	-435	-1534	-1842	-1386	-1649	-1311	-1718	-621	-1133	129	601	1279	1249	2433	1902	1869	1244	281	108	141	227	
-363	-199	-184	0	-1376	-2069	-2626	-3034	-2909	-1763	-2008	-809	-1478	266	756	1500	1503	3661	2604	2701	2284	790	233	182	210	
-700	-227	-347	-331	-2003	-3020	-3262	-3329	-3231	-1296	-1428	-389	-1176	315	418	904	1266	3695	2588	3831	2862	1331	559	456	202	
-882	-640	-643	-1302	-2675	-4223	-4134	-2813	-2836	-1311	-905	-389	-1047	315	168	614	302	3577	2420	4080	3573	2070	217	309	140	
-468	-475	-959	-1632	-3257	-5382	-4592	-2946	-2279	-447	-1007	-301	-293	36	-135	352	39	2416	2019	4695	4729	3317	1558	580	195	
-385	-411	-1246	-2772	-4511	-6333	-4164	-1680	-1576	-200	-432	89	-198	258	-516	-27	-222	1389	1032	4346	5340	3973	2128	680	52	
-57	-701	-1231	-3192	-6018	-6719	-3794	-488	-249	172	352	706	227	-281	-1540	-437	-736	365	463	4030	5373	4827	3009	898	-52	
-700	-1004	-1607	-3732	-7004	-7076	-3616	-63	74	1624	1412	1807	129	-68	-2337	-1112	-1878	-27	7	3133	5687	5450	3205	1400	-37	
-593	-1094	-2135	-4812	-7526	-7418	-3335	381	-194	2155	2115	2768	816	-278	-3077	-2274	-2300	-221	-783	2817	6397	5877	4183	874	385	
-608	-1170	-2270	-4662	-7989	-7328	-3395	265	107	2526	2238	3746	660	-373	-3675	-2599	-2174	-154	-686	2634	6116	6271	4509	905	534	
-335	-1019	-1487	-4317	-8123	-6571	-2774	240	0	1943	2818	4043	677	-535	-3063	-2358	-1892	-771	-560	2368	5191	6008	3759	1384	604	
-304	-1110	-1276	-4542	-6974	-6259	-3232	-63	-125	1094	1834	2837	348	-359	-2010	-1735	-1962	-490	-421	3000	5109	6238	3319	1724	455	
-365	-426	-1336	-4482	-6242	-6288	-3897	-871	-339	175	335	1772	48	-326	-1142	-645	-1187	-247	-34	3299	5670	5877	3205	1465	192	
-196	-206	-1095	-3267	-5153	-5694	-4445	-2445	-1239	98	-158	334	-82	-251	-416	-478	-356	-14	300	4047	5555	5401	2373	742	192	
-100	-8	-854	-2787	-3212	-4446	-4592	-3785	-2133	-179	-325	138	-293	-204	-156	-14	-27	766	1216	5260	5208	3990	808	604	140	
-50	-209	-748	-1632	-2137	-3257	-4208	-4580	-2675	-698	-1036	-21	-300	290	-34	496	555	1557	1751	6108	4332	3022	287	49	69	
-50	-29	-403	-605	-1540	-3005	-3498	-3932	-2777	-1471	-1674	-273	-395	363	128	989	1300	2399	2638	5377	3193	2431	404	120	44	
-221	-290	-375	-479	-1018	-2039	-3202	-3579	-2338	-2112	-1979	-403	-146	189	241	1585	1232	1726	2889	3798	2301	1266	132	68	96	
-77	-100	-325	-218	-480	-627	-1324	-2313	-1825	-1194	-1239	-348	-238	66	176	1142	961	1423	1785	2235	1211	421	126	15	102	
137	-71	-212	-219	-211	-321	-659	-1253	-1239	-698	-369	-343	-173	19	80	584	470	1237	1517	1088	376	101	-64	-40	9	
137	-24	25	-74	-22	-84	-836	-485	-421	-262	-702	-260	-245	-23	104	344	223	934	998	409	135	-106	-171	-143	-141	
