-35	-279	-333	-279	-289	8	654	182	145	19	16	-73	
25	-181	-547	-258	-280	40	709	73	8	0	-34	-61	
368	-496	-885	-595	-280	155	441	316	133	8	-108	-88	
-224	-895	-1253	-1430	-399	245	584	340	201	64	-182	87	
-475	-659	-1651	-1517	-420	384	505	260	258	-122	-107	-56	
-391	-792	-1695	-917	-482	171	440	186	146	-156	-100	-63	
-182	-146	-229	99	-172	-151	-308	-123	15	0	72	-21	
-35	291	886	863	-42	-485	-1574	-1349	-395	-7	192	119	
242	1140	2299	2072	32	-1312	-2051	-2455	-238	104	432	279	
368	1806	2335	2232	222	-1471	-2296	-2642	-392	361	409	385	
293	1860	2263	1699	435	-1210	-2239	-2211	-271	353	362	342	
159	525	1029	880	518	-557	-1026	-1363	-312	40	344	135	
-259	16	215	231	82	49	-28	-340	0	-81	-34	68	
