-7	-84	-306	-214	16	-69	-31	56	
-272	-368	-390	-379	-28	-55	-34	0	
-644	-444	-507	-339	-7	220	56	48	
-821	-547	-1210	-461	98	1178	73	-34	
-836	-944	-1019	-385	417	1684	137	169	
-1029	-1135	-1488	-269	278	1527	316	234	
-955	-1283	-1298	-186	204	1213	300	105	
-91	-222	-242	-186	-7	440	-177	8	
450	373	400	32	-601	-636	-1320	-332	
1734	2281	1805	386	-1718	-2773	-2814	-392	
1518	2281	2392	361	-2095	-2787	-3274	-190	
1158	2066	1734	452	-1007	-2369	-2326	-265	
834	903	649	320	-630	-1184	-1291	-156	
75	-14	99	116	-192	-308	-211	-41	
-167	-451	-401	-149	-124	489	194	40	
-67	-506	-580	-186	302	485	340	56	
-82	-767	-785	-310	376	425	275	88	
-160	-561	-565	-275	270	415	208	-141	
-283	-355	-624	-200	-14	496	284	185	
-341	-380	-428	-76	-42	243	192	121	
