-42	-91	-56	41	-119	-131	-82	-357	-75	160	20	103	-1	-100	-173	-533	-310	-172	
-25	-77	-15	41	-138	-179	-292	-659	-89	241	167	125	0	15	-67	-304	-165	-210	
83	-28	33	-68	-153	-261	-457	-932	210	221	168	231	71	229	-153	-320	-295	-280	
135	16	42	-63	-145	-369	-342	-1090	-265	265	496	438	293	480	-179	-395	-413	-381	
209	75	182	0	-186	-1079	-437	-1119	-735	209	544	673	468	681	-126	-324	-337	-282	
251	50	110	-21	-227	-1413	-867	-961	-635	80	921	588	985	1032	125	-304	-329	-335	
242	-84	-86	-180	-14	-1268	-355	-567	-506	-7	904	572	277	434	181	-152	-147	-330	
234	-299	-187	-159	8	-383	-164	-443	-210	72	96	79	-147	134	53	12	0	-194	
134	-212	-233	-99	172	122	701	251	-34	-257	-384	-849	-434	-306	-7	148	226	165	
-70	-378	-257	-173	422	1623	2575	2014	201	-658	-1820	-1906	-1275	-951	78	633	226	334	
-419	-600	-723	-332	1200	1974	3187	2865	323	-445	-3010	-3047	-2159	-1690	-140	1046	546	427	
-296	-274	-453	-180	793	2747	3047	3351	379	-402	-3066	-3399	-2523	-1830	-206	880	568	194	
-280	-319	-349	-249	617	1904	2139	2500	169	-284	-2429	-2878	-2397	-1704	-113	765	655	332	
-105	-306	-374	-121	296	1359	1160	1180	-141	-149	-1381	-1723	-1191	-1174	-47	699	675	225	
50	-103	-104	-155	49	98	301	121	-20	-115	-263	-235	-630	-107	157	289	280	-145	
108	-49	-84	-311	-351	-456	-737	-673	-201	-27	176	119	301	316	275	70	62	-45	
360	50	82	-497	-582	-1283	-1083	-1535	-82	257	733	487	1153	965	-47	-126	-185	-197	
91	58	5	-359	-447	-1297	-1502	-1967	-434	442	852	1673	1490	982	-107	-218	-310	-288	
41	97	240	-290	-255	-1181	-1459	-2153	-414	490	273	1418	1406	781	7	-168	-270	-278	
-56	50	128	-83	-234	-891	-564	-1363	-224	216	416	1232	1338	411	110	-188	-263	-223	
-67	-84	52	-83	-145	-1225	-335	-1047	-55	185	240	707	783	237	188	-73	-133	-158	
-28	-244	-16	-65	-76	-288	-219	-400	64	257	136	143	615	-134	149	-60	-38	-164	
