-113	-161	-160	-91	-125	-241	-247	-347	-136	113	80	-34	239	269	39	-14	-77	-150	-231	
-134	-196	-77	8	-90	-317	-343	-567	-334	169	158	264	340	309	134	-179	-205	-312	-313	
-43	33	41	32	16	-144	-165	-578	-573	-197	120	552	550	783	47	-136	-265	-324	-284	
25	33	60	66	-90	-110	-659	-1112	-1047	-393	-54	904	1012	968	379	-146	-232	-237	-348	
117	125	100	78	16	-138	-1196	-1242	-1219	-339	-203	1210	876	1002	1082	-239	-278	-362	-300	
92	159	0	132	-42	-83	-1500	-852	-585	-285	-284	1091	859	373	948	-140	-267	-304	-251	
159	18	-153	-118	-113	-49	-90	89	-177	-163	-174	472	103	-47	126	0	-212	-185	-302	
33	-91	-167	-201	-242	263	564	1789	486	-116	-416	-249	-680	-532	-393	-40	-67	156	-132	
-99	-308	-378	-513	-258	1253	1605	1929	1788	307	-453	-1608	-2075	-1864	-1216	-259	467	421	58	
-316	-354	-393	-542	78	1430	2326	2942	2761	429	-544	-2755	-3315	-3617	-2137	-193	814	954	417	
-246	-398	-585	-461	-316	1112	3152	3886	3090	567	-431	-3066	-3836	-3196	-2123	-179	454	667	598	
-253	-168	-437	-400	-81	740	2449	3030	2465	24	-502	-2996	-3089	-2593	-1802	157	430	663	334	
-153	-70	-327	-153	-74	123	1324	1894	1285	101	-81	-1410	-1610	-1345	-825	78	275	444	136	
-148	50	-67	-14	-67	-55	188	399	202	57	-129	-489	-567	-307	-160	220	148	226	-103	
157	435	25	149	-125	-289	-315	-151	-716	56	32	-95	167	547	490	275	-27	-86	-193	
226	301	275	167	-69	-358	-1065	-348	-1679	-210	225	272	419	1288	1433	-80	-126	-214	-207	
207	268	226	313	-14	-596	-2081	-1488	-2268	-400	410	460	724	1490	1266	-352	-139	-303	-238	
91	75	226	420	33	-399	-1355	-1502	-2168	-285	217	240	792	884	630	-232	-251	-290	-192	
33	131	183	329	132	-310	-1079	-535	-1708	-217	112	424	555	365	490	15	-202	-349	-266	
44	234	108	235	-42	-372	-630	-280	-1090	-143	24	341	526	87	284	86	-251	-349	-345	
