2	79	255	70	-89	-103	-72	-203	-730	-447	-353	-401	-204	-212	-348	-155	-111	180	417	1055	178	218	329	344	63	12	7	9	-331	-207	-260	
-15	85	111	96	-62	56	-42	-370	-1110	-928	-974	-458	-519	-416	-378	-206	-242	444	466	1440	381	549	474	448	334	47	56	-31	-258	-207	-301	
-162	-15	8	-52	-145	173	30	-122	-441	-1170	-869	-668	-943	-552	-363	-312	-325	477	709	933	486	1516	807	392	416	47	51	-85	-225	-266	-204	
-100	-71	-37	-167	-89	25	-121	-436	-1277	-1155	-1457	-1302	-1436	-1296	-1147	-354	-229	139	691	1318	1128	2155	1236	504	893	158	31	-64	-126	-141	-117	
-162	-132	-183	-164	-232	-94	-101	-947	-1916	-2199	-2150	-2022	-2540	-1474	-940	-461	-375	369	1254	1649	694	2293	1750	2080	1774	357	181	-73	-98	-53	-20	
-249	-148	-136	-73	-236	-260	-721	-1802	-2251	-2926	-3024	-2547	-2406	-1355	-1132	-174	-214	534	540	1632	607	2448	2145	3495	2130	867	597	-133	-23	-44	-20	
-177	44	-139	-151	-377	-859	-1657	-3269	-3513	-3289	-2873	-2277	-1958	-939	-836	-14	-138	262	-35	513	885	2120	1922	4705	2841	2197	1952	606	47	-79	9	
-154	-176	-284	-295	-517	-1244	-2563	-4445	-4258	-3138	-2225	-1497	-1495	-702	-659	0	-187	48	-315	211	154	1689	1219	4995	4010	3274	2688	1637	446	78	43	
-287	-308	-358	-225	-1229	-2154	-3852	-4507	-4030	-2472	-1080	-50	-630	8	-202	16	-521	435	-325	171	-116	226	601	3938	3926	4419	3658	2651	1326	296	77	
-250	-337	-614	-523	-2236	-3141	-5218	-4568	-3969	-1367	-255	250	134	519	166	232	-536	-315	-992	-41	-415	-177	-135	2216	3824	4402	4712	3565	2350	491	195	
-558	-436	-911	-1242	-2329	-4174	-5786	-4216	-3361	-206	-43	745	761	1462	870	778	-595	-165	-2066	-1314	-1607	-319	-311	852	2570	4049	5766	4629	2879	724	217	
-293	-524	-1021	-1833	-3444	-5499	-6522	-3636	-2296	477	59	1386	1945	3146	2346	1387	-111	-640	-3619	-3033	-3001	-1007	-843	240	1639	3948	6084	5709	3853	1151	295	
-323	-344	-974	-2393	-4079	-7164	-7274	-2612	-1460	1037	186	2027	3038	5880	4020	2049	-595	-1748	-4387	-3596	-4136	-1150	-1299	-688	382	3863	6452	6557	4068	1660	738	
-348	-476	-1536	-2549	-4481	-7442	-7259	-2322	-1262	1611	93	2924	3948	7237	4722	2532	-624	-2681	-4939	-4737	-4984	-1350	-1498	-417	247	3392	6703	6740	3771	1725	481	
-382	-191	-1677	-2689	-4884	-7303	-6522	-2062	-684	692	-29	3107	4513	7925	4542	2639	-387	-2841	-5664	-5964	-5228	-1235	-1455	-291	71	3712	6887	6540	4266	1364	62	
-283	-308	-1193	-2829	-4899	-7889	-6860	-2352	-760	492	297	3877	3802	7400	3750	2585	-155	-2812	-5751	-5935	-5200	-380	-1384	-310	87	3426	6686	6939	3804	1512	477	
-279	-300	-1161	-2455	-4512	-7642	-6906	-2902	-593	222	-8	3107	2910	6459	3876	1583	-297	-2710	-4431	-4852	-3950	-231	-815	-115	255	3661	6335	6441	3473	1446	248	
-294	-191	-864	-1724	-3970	-7041	-7075	-3605	-1521	-281	93	2888	1544	4703	3030	1566	-414	-1500	-3009	-2643	-2987	-34	-203	104	317	3308	5733	4695	3077	954	194	
-345	-117	-306	-1226	-3072	-4914	-6476	-3773	-2418	85	20	1935	302	3073	1176	886	-151	-553	-1674	-1430	-1334	201	128	580	1266	3544	5231	2983	2020	544	202	
-205	-30	-314	-651	-2096	-2940	-5632	-4598	-3406	-525	-1216	525	-120	1571	100	1226	-521	-269	-398	-396	-601	256	361	1040	2757	3880	4495	2834	1508	421	266	
-28	97	-299	-291	-1368	-2139	-3867	-4308	-4182	-1957	-1502	278	-868	242	-306	1226	-521	32	204	554	-21	646	1236	1978	3282	3611	3274	2036	564	148	233	
178	26	-284	-15	-904	-1676	-2762	-4552	-4958	-3289	-2617	-1017	-1928	-226	-925	481	-53	180	384	1283	430	1913	2505	3171	3756	2668	2387	1354	70	39	202	
8	115	0	48	-123	-504	-1964	-4705	-4866	-4606	-3476	-2547	-2197	-746	-1650	232	-352	394	761	1807	1771	2655	3465	3290	3299	2315	1249	47	-146	-112	-25	
-81	124	132	15	-196	-303	-1396	-3483	-3452	-4924	-3566	-2877	-2764	-1459	-2581	116	191	592	515	2645	2517	3086	3706	2881	2621	1490	237	-219	-193	-189	-154	
17	26	114	78	-203	-175	-208	-1864	-2205	-3562	-3430	-2352	-2466	-1667	-2241	240	-359	1271	1394	3030	2622	2741	3037	2523	2147	766	-14	-67	-175	-126	-141	
-37	124	308	-109	-297	17	-330	-643	-1293	-2215	-2346	-1797	-2331	-1355	-1901	-63	-290	1501	1201	2610	2396	1844	1853	972	1114	158	-40	-107	-145	-153	-132	
-169	248	194	-95	-119	252	-158	-193	-505	-1533	-1592	-987	-1973	-1266	-1309	-42	-256	1218	270	619	1719	1706	1236	712	175	74	-187	-226	-131	-207	-179	
-49	265	82	-175	-6	278	30	-22	-100	-625	-1065	-380	-1406	-598	-600	-243	-113	361	114	448	660	1136	395	472	223	150	-51	-113	-139	-172	-180	
