-19	-146	-409	-428	-214	-172	78	-57	-31	
-70	-174	-416	-565	-172	-28	383	16	0	
-35	-195	-547	-829	-262	163	933	243	8	
75	-362	-1180	-1107	-159	147	668	382	118	
-112	-910	-1518	-1854	-97	212	1213	1146	96	
-440	-821	-1445	-1664	-289	638	828	989	460	
-370	-807	-1356	-814	-317	204	334	399	395	
-105	-160	-125	49	-138	-110	81	-62	-292	
-105	366	1154	827	-186	-1036	-766	-918	-454	
92	1752	2800	1752	-138	-1718	-2513	-2297	-735	
209	2292	3122	1752	65	-1921	-2527	-2742	-778	
175	1716	1995	1325	312	-1732	-1242	-2326	-563	
192	516	689	827	361	-949	-287	-1205	-359	
-161	-153	265	74	-76	-137	-103	-245	48	
-235	-195	-236	-311	-49	-28	440	178	55	
-232	-156	-329	-346	16	262	461	227	145	
-198	-141	-330	-336	-220	237	324	324	-89	
-162	-174	-355	-448	-142	204	277	193	-28	
-177	-292	-296	-404	-104	302	309	202	-14	
-154	-318	-631	-381	24	90	187	48	-14	
-54	-195	-513	-511	-136	46	-26	-24	-42	
