-126	-132	-125	-107	-60	-45	-65	-67	-193	-145	-82	-45	288	-207	-37	-97	-55	182	43	110	108	48	60	-170	-90	-155	-37	-51	-67	-24	-59	-111	0	-24	-84	-177	-183	-199	-1029	313	662	
-370	-228	-210	-203	-133	-67	-163	-52	-86	-130	-74	58	-56	-377	-146	-155	-163	-49	-2	43	57	95	156	-10	-52	-30	-38	-45	-89	-187	-185	-250	-199	-177	-67	-507	-324	422	17	1534	749	
-245	-270	-302	-190	-88	5	-127	-193	-113	-215	-158	-111	-193	-224	-15	-229	-135	-106	-45	34	86	121	88	26	-51	-155	-37	-96	-206	-200	-157	-224	-167	-118	43	-122	-67	760	2053	1906	172	
-284	-305	-297	-271	105	105	-156	-84	-131	-187	-230	-95	96	-311	165	-170	-155	-192	-86	-67	15	78	52	-59	-23	-34	-23	-96	-140	-162	-140	-156	-125	0	21	43	163	431	1960	680	-52	
-129	-66	-310	-230	-148	-60	-37	-51	-127	-170	-281	-133	-43	-2	-2	-106	-104	-89	-37	-52	-37	16	5	-7	43	-52	78	216	-96	-192	-125	-133	-59	-70	0	1900	543	448	1141	404	-507	
-35	-60	-178	-188	-171	-274	-185	-124	-156	-223	-289	-82	-93	1	-34	-23	52	-23	330	-52	286	118	26	69	35	2	191	91	-170	-146	-30	-67	34	-221	271	1564	1824	155	336	-391	-433	
42	39	-178	3	-72	-222	-171	-254	-274	-274	-198	-161	-266	-185	-111	14	52	17	188	26	249	147	-30	86	95	43	177	129	-111	-192	8	-30	69	-59	227	875	1340	-52	-309	-375	-272	
7	-79	-28	49	35	-133	-171	-444	-363	-369	-281	-311	-341	-274	122	139	102	216	382	78	192	17	-37	-30	-20	17	75	-15	-52	-55	-121	-4	77	-96	123	345	1192	156	-221	-328	-125	
-40	-119	-4	187	46	-171	-400	-959	-363	-556	-354	-700	-510	-638	235	215	217	365	786	528	426	-111	12	303	88	80	64	-18	-15	-52	-67	60	319	-243	17	-639	856	-294	-466	-243	-153	
2	-86	-53	5	-2	-163	-422	-1652	-400	-667	-575	-1125	-909	-921	69	270	296	365	805	716	738	470	441	460	290	95	0	-104	17	-15	-155	-155	380	-302	146	-1155	-45	-199	-478	-322	-89	
-106	-172	-256	-249	-116	-185	-469	-1683	-1277	-1029	-1724	-1928	-1853	-1126	17	104	136	921	767	1880	1845	807	822	642	520	-126	-148	-317	-30	95	-107	-103	397	9	-278	-1327	-111	94	-463	-254	-147	
