-91	-422	-229	-565	-138	-7	268	-48	-136	-137	-195	-55	
-91	-511	-576	-712	-124	164	537	89	-77	-176	-131	-126	
242	-244	-767	-975	-14	253	1387	194	51	40	-175	-222	
1	-348	-1003	-1503	-234	368	1405	660	48	24	-424	-286	
-133	-659	-1121	-1356	-324	212	554	364	169	-183	-276	-181	
-182	-585	-402	-785	-317	57	440	555	143	-88	-108	-41	
-203	-223	107	24	-117	-48	57	129	-61	1	168	199	
-98	308	653	809	-152	-412	-751	-1148	-305	-14	424	199	
242	1194	3122	1752	-117	-1500	-2369	-2053	-592	120	412	374	
309	1392	3319	2037	304	-2124	-2744	-2742	-320	112	733	453	
16	1626	2621	1414	460	-1167	-1964	-2096	-265	361	425	247	
-7	942	1440	756	460	-470	-881	-1076	-244	209	360	235	
-210	383	58	99	82	-192	-621	-245	-28	48	-88	191	
