-3	-8	7	43	-52	-23	35	-82	-229	-320	-288	-207	-222	-162	-221	-117	-49	26	69	-103	-57	0	242	77	3	-81	87	181	-125	-30	-4	
35	-15	-30	-163	0	252	-8	-170	-200	-406	-371	-332	-369	-359	-243	-236	-81	146	122	86	-81	92	55	67	-52	3	258	215	-169	-81	60	
113	-37	-141	-108	-37	340	252	-266	-436	-445	-458	-502	-553	-317	-155	-135	-155	329	190	554	328	173	167	190	-96	-111	90	-37	-228	-184	-88	
17	-45	-200	-89	61	340	61	-333	-509	-480	-587	-828	-1316	-1008	-508	-314	-280	139	283	588	680	116	250	639	-103	56	-58	-67	-161	-118	-37	
16	-281	-241	-23	43	261	235	-465	-873	-1659	-1184	-1237	-1379	-977	-1183	-332	-96	407	216	614	1241	882	904	1790	302	189	60	-45	-129	-111	-18	
-22	-52	-458	200	193	196	-207	-795	-1062	-2209	-2520	-2226	-1646	-1479	-1387	-486	95	279	397	863	2362	2506	1744	2331	827	552	153	60	4	-79	-5	
-67	-144	-481	-68	-52	-136	-458	-1408	-1958	-2744	-3117	-2320	-2243	-1228	-853	-383	303	301	233	1069	2810	3029	2491	3563	2523	1195	-59	-16	68	-103	43	
-141	-229	-226	-196	-215	-229	-662	-2540	-3262	-3451	-3478	-2038	-1976	-616	-1010	-391	277	189	310	588	2100	2861	1912	3824	3661	1866	120	103	137	-47	-12	
-222	-235	-252	-274	-685	-816	-1857	-3688	-3923	-3199	-2850	-1095	-1159	-384	-1434	0	199	257	347	363	1241	2095	1875	3413	4686	2686	1341	172	353	-59	-39	
-237	-237	-296	-229	-1614	-1509	-2408	-4867	-4394	-2555	-2111	-96	-594	-229	-822	-96	0	407	192	69	232	1255	1184	2835	5115	3562	3073	1285	927	525	-30	
-451	-237	-464	-531	-2180	-3868	-4405	-4333	-3734	-1345	-1200	278	-251	69	-52	364	5	-104	-52	-45	-192	-15	415	820	4015	4214	4824	2569	1392	439	267	
-385	-252	-260	-1145	-2589	-4434	-5411	-4427	-2728	-371	-450	573	217	1103	347	443	-237	-207	-273	-704	-529	-339	-37	224	2262	4307	6202	3165	1988	955	422	
-348	-392	-732	-2120	-3093	-5787	-6308	-3892	-1879	-111	0	1170	1013	2472	1033	1299	-849	-872	-967	-2757	-2159	-515	-1054	-309	440	3673	6444	4058	3662	676	396	
-340	-348	-1031	-1743	-3706	-7187	-7141	-3154	-936	269	234	1864	2476	4327	2138	2404	-1257	-2707	-3805	-4309	-3617	-608	-1540	-375	-103	3599	6780	5287	3867	1848	568	
-340	-326	-921	-1995	-3974	-7266	-7125	-2776	-163	219	443	2520	3058	6614	3506	3134	-928	-2644	-6063	-5908	-4087	-749	-1305	-379	-162	3077	7543	5827	5002	1755	1163	
-383	-543	-574	-2026	-4430	-8005	-6701	-2399	-266	330	452	1526	4108	7758	5210	3134	-1163	-2769	-6439	-6551	-4729	-639	-1900	-285	86	2779	7637	6218	5337	2053	586	
-163	-348	-1204	-2419	-4524	-8194	-6764	-1141	-296	391	452	869	4389	7851	5004	2760	-1226	-2989	-6596	-6770	-5105	-874	-1759	-346	-15	3301	7134	6665	4984	1532	345	
-126	0	-1062	-1916	-4273	-7895	-6811	-1629	-732	513	-30	363	3264	7570	3805	2516	-708	-2503	-5357	-5735	-4118	-874	-1931	-118	-140	3394	6929	6311	4593	1532	456	
-134	-193	-451	-1192	-3470	-6227	-6260	-2100	-2241	600	-236	286	1876	5752	2756	2329	-347	-2001	-4134	-3008	-2441	-545	-1054	-214	311	3878	6444	6032	4388	499	284	
-195	-185	-340	-798	-3045	-4859	-6276	-2698	-2697	208	-619	295	676	3840	695	1692	-45	-1248	-2253	-970	-1548	-250	-405	181	492	4959	6333	5455	2937	422	345	
-119	8	-74	-407	-2322	-3475	-4971	-3924	-3593	-104	-1357	-369	338	1122	-96	355	242	-207	-873	-30	-655	-250	-118	1287	2430	5257	5141	5008	1169	537	275	
-104	34	-156	-263	-1708	-1870	-4012	-4537	-4127	-795	-1656	-608	-288	-295	-398	60	78	17	-317	86	-346	25	172	2126	3344	4922	4265	3165	431	284	223	
-28	218	-126	-148	-890	-423	-2785	-3955	-3985	-1612	-2080	-1080	-1363	-1087	-979	-183	130	153	121	484	662	695	774	3563	4350	3729	3110	1880	181	198	159	
-104	35	-57	-259	-303	-229	-1967	-3971	-4237	-2272	-2756	-1849	-1976	-1165	-1152	60	160	346	372	957	1558	1927	1390	3917	4705	3711	1564	258	-45	51	110	
-149	-111	-113	-148	122	-102	-510	-1393	-3451	-3121	-2378	-1755	-2258	-2092	-1999	-221	104	521	580	2153	2586	3010	2453	4010	3549	1530	422	-30	-206	-184	43	
-281	-108	-78	-67	17	-104	-363	-890	-2524	-2555	-2347	-1849	-2510	-2264	-2203	-324	26	624	414	2228	2492	2581	2099	3395	2859	405	-155	-201	-246	-169	-155	
-93	-95	-23	9	-74	34	-208	-318	-1486	-2021	-1640	-1896	-2196	-2233	-1481	-258	242	480	432	2284	736	1722	1595	2219	1349	172	-73	-159	-214	-153	-111	
-107	-156	-45	-118	-3	-94	-185	-273	-527	-842	-1216	-1127	-1913	-1385	-1214	-140	95	249	189	1443	923	1180	1894	1268	156	69	-74	-147	-155	-221	-235	
-60	-178	-178	-109	78	-73	-74	-200	-296	-384	-462	-258	-625	-133	-492	-81	-23	234	199	329	190	153	1259	578	51	138	-213	-162	-140	-173	20	
-244	-303	-340	-215	-125	9	-91	-155	-172	-261	-415	-413	-688	-266	-310	-118	-67	112	207	208	276	458	492	216	116	-16	-107	-147	-133	-74	93	
