-191	-204	-210	-126	-85	-341	-378	-134	-111	-37	-23	24	-104	-104	-15	226	-244	-141	86	-48	
-99	-228	-129	-55	52	-245	-422	-400	-207	69	69	174	17	50	8	191	36	26	88	78	
-14	-164	-154	-113	-141	-465	-911	-326	-231	-76	61	200	122	279	122	174	174	63	41	-133	
-109	-156	-151	-157	-230	-563	-1746	-316	-275	-200	-45	445	503	415	217	209	198	115	22	-52	
-112	-125	-218	-226	-296	-355	-1463	-411	-352	-244	-185	357	314	662	69	241	233	52	-15	-74	
54	-151	-227	-233	-274	-815	-1368	-757	-572	-352	-244	462	879	1926	488	460	444	174	-163	-106	
-82	-138	-231	-276	-272	-1414	-2282	-1198	-462	-348	-511	434	785	2566	1047	670	313	60	-65	-148	
-159	-193	-280	-296	-1250	-2943	-2629	-2616	-1549	-274	-153	1002	1067	4203	2288	1771	564	435	-8	-80	
-166	-194	-395	-319	-2117	-3715	-3968	-2742	-1911	-200	-826	451	1237	5313	3379	3520	733	461	95	10	
-209	-204	-449	-450	-2826	-5276	-4583	-2238	-1281	157	-1960	392	766	4824	4865	4196	2217	1237	400	17	
-248	-424	-745	-1381	-4513	-6836	-5623	-2002	-237	646	-1818	-60	392	4541	5128	5757	2894	2401	521	321	
-487	-436	-399	-2232	-5743	-8144	-5985	-820	515	1015	-1645	-1664	-266	3601	6313	7204	4266	2007	716	408	
-387	-433	-20	-3273	-6137	-9326	-5859	-253	1903	1619	-1849	-2876	-1472	2754	6802	7655	5318	1932	866	208	
-315	-443	-379	-3841	-6326	-9043	-5985	-281	1922	1638	-1771	-3285	-1488	2453	6896	8012	5393	1932	669	478	
-165	-459	-647	-3746	-5790	-7766	-6111	-568	1168	1015	-1204	-2042	-371	3074	6633	7937	4923	1688	678	312	
-165	-351	-477	-2264	-4292	-6631	-5764	-1655	402	174	-518	-458	200	4015	5655	6809	4303	1857	634	165	
-40	-302	-503	-1333	-3457	-5670	-5103	-2474	-194	-340	-481	610	1049	3977	4301	5719	2443	1650	469	147	
85	85	-343	-533	-2164	-3384	-3684	-2537	-682	-795	-433	1812	1387	3506	2457	3858	1691	452	217	65	
-61	-145	-270	-289	-1171	-1525	-2314	-1639	-635	-1110	-178	1699	672	2735	1517	1997	478	295	0	68	
-118	-251	-237	-259	-407	-222	-1179	-1576	-698	-1299	-156	730	575	1625	1179	270	-45	82	0	31	
-81	-115	-168	-202	-245	-393	-769	-1261	-667	-606	-133	417	453	584	348	121	-96	78	27	6	
