-207	-190	-146	-127	-64	-185	-376	-414	-461	-744	-419	-289	-127	-33	23	7	179	77	110	181	193	-8	
-140	-152	-111	-201	-158	-311	-409	-470	-377	-986	-646	-235	-274	-34	369	141	421	126	139	254	132	18	
-35	-93	-77	-404	-55	-601	-478	-1607	-563	-1242	-942	-581	-341	0	668	454	790	652	363	490	218	106	
-107	-105	-239	-337	-372	-1428	-1618	-2383	-1865	-2010	-1169	-722	-167	-80	988	1640	1495	1330	951	490	446	183	
-240	-171	-290	-332	-406	-2371	-2239	-2857	-2751	-2907	-1226	-1173	-187	-200	1570	1822	2267	1802	2194	589	394	385	
-230	-188	-416	-946	-873	-2327	-2787	-3863	-3280	-2850	-744	-1300	-261	-267	1304	1194	2365	1134	3441	1307	673	271	
-217	-244	-355	-1195	-1938	-3125	-3524	-4424	-2680	-1953	-243	-349	-154	-87	511	500	1807	1248	3733	1515	1372	323	
-175	-438	-915	-1810	-3833	-4910	-5256	-4395	-1579	-459	96	47	381	-435	102	-86	273	1069	3036	2177	2393	748	
-231	-437	-1224	-2601	-5028	-5766	-5560	-4050	-447	104	1483	358	1271	-769	-607	-1472	-316	368	2226	3519	2695	2373	
-105	-762	-1857	-3143	-6005	-6796	-4737	-2584	169	1545	2063	1452	698	-1606	-1510	-3061	-1186	-119	2421	5315	4452	2581	
-363	-925	-2092	-3890	-6136	-7304	-4145	-2125	1119	2454	3580	2401	1675	-1453	-2801	-4524	-2477	-595	2324	6053	4793	3619	
-335	-955	-2063	-4286	-6938	-8131	-4289	-1895	1792	3517	4978	3079	1574	-1188	-3967	-5091	-2903	-538	1183	5845	5378	4639	
-405	-895	-1842	-4974	-7040	-8218	-4159	-2283	1706	3808	5114	2587	1675	-1523	-4341	-5339	-3384	-404	1335	5750	5416	4129	
-370	-585	-1194	-4550	-6370	-7173	-3567	-2110	1136	2934	4262	2333	809	-1690	-3675	-4345	-2285	-513	2210	5883	5208	4205	
-328	-496	-591	-3744	-5859	-6956	-3971	-2886	201	1579	2421	1723	635	-1634	-2787	-2978	-1392	-256	3733	5788	4150	3657	
-280	-487	-414	-3275	-5466	-6985	-4968	-3964	-649	353	1347	436	420	-1495	-1579	-1555	-382	365	3425	6109	2582	2788	
-196	-376	219	-2587	-4256	-5606	-4751	-4941	-1450	-544	136	-128	214	-1313	-385	-291	241	1705	3976	4502	2033	1995	
-126	-258	-132	-1210	-2506	-3880	-3654	-4496	-1922	-2565	-148	-483	-184	-616	472	121	1184	1330	3911	2914	408	507	
-153	-245	-185	-404	-946	-2414	-3033	-3921	-2680	-2579	-758	-1103	150	-365	1520	798	2316	1378	3166	1893	332	277	
-189	-341	-187	-214	-83	-1225	-2859	-3202	-2394	-2209	-1650	-1187	-14	-7	1387	1541	2086	1525	2064	1212	341	323	
-157	-165	-154	-134	-35	-1036	-1488	-2599	-1736	-2081	-1155	-1159	99	-67	2086	1805	2004	1020	564	674	455	26	
8	-153	-152	-132	139	-62	-621	-1406	-1107	-1370	-758	-456	-261	7	1221	1095	1479	349	557	350	-304	-200	
8	-77	-167	-311	-73	-181	-396	-1004	-835	-701	-546	-510	-301	39	322	352	1085	93	294	136	-139	-143	
75	-146	-265	-231	-76	-192	-458	-1033	-749	-459	-370	-539	-274	39	15	405	532	85	54	47	-97	26	
-36	-119	-197	-183	-83	-148	-123	-961	-427	-230	-359	-652	-261	71	42	-27	144	-145	-59	-32	-97	-131	
