80	-27	-296	-135	-174	-247	-378	-249	-373	-276	-151	-109	-67	33	140	167	139	138	165	113	0	95	-8	-30	
56	48	-135	-168	-187	-227	-312	-238	-787	-773	-306	-200	-97	122	201	288	305	288	340	288	252	418	-23	-119	
185	-54	-150	-215	-334	-546	-288	-837	-1351	-1566	-98	-82	131	507	447	898	594	270	497	427	461	306	52	-30	
-18	-94	-195	-295	-408	-714	-1190	-1970	-2079	-1224	-575	-496	-30	1221	183	1879	1752	978	870	689	540	296	217	-67	
-48	-108	-115	-349	-714	-881	-2176	-3199	-2477	-1689	-471	-429	-200	1598	638	2162	1866	2901	1172	2151	331	366	0	-5	
-41	-162	-390	-511	-1191	-1355	-3078	-4110	-2793	-2154	77	-185	148	1032	242	2577	2111	2995	2171	2810	616	601	126	105	
-244	-255	-310	-1004	-1654	-2876	-4105	-4580	-2381	-2222	-596	-533	-52	1013	8	1653	1111	3315	2792	4260	1689	1380	-23	9	
-224	-304	-532	-1990	-2565	-4257	-4716	-4469	-1241	-505	294	-489	-60	748	385	1237	104	2448	3282	4976	2310	2528	217	52	
-326	-516	-872	-2568	-3491	-5289	-4203	-3972	-422	54	502	-177	-333	367	-74	483	-274	1732	3377	6163	3665	3582	934	270	
-170	-616	-1523	-3132	-3953	-5666	-4091	-2356	-139	-125	94	-385	-333	8	-141	-111	-210	582	2642	6483	5209	4391	1235	191	
-278	-1014	-1877	-4090	-4794	-5959	-3231	-2108	202	-33	-20	-430	-651	-111	-222	-369	-217	253	1831	6483	5548	5746	2025	270	
-380	-1171	-1566	-4174	-5005	-5847	-2315	-1707	319	248	31	-370	-382	17	-452	-300	-183	-52	927	6163	6263	6254	3247	850	
-373	-1270	-1920	-4315	-5229	-6126	-1898	-1348	-215	240	19	-274	-524	-362	-389	-385	-163	-355	323	5824	5943	6555	2871	813	
-190	-402	-2019	-4541	-5047	-5652	-1746	-851	-69	-171	79	-289	-370	-30	-355	-341	-147	-141	235	5786	6113	6536	2627	662	
-61	-402	-2104	-4146	-5201	-5764	-1787	-1058	-297	-217	-128	-533	-635	-257	-378	-233	-289	64	209	6144	5247	5877	2006	587	
-48	-914	-1381	-3484	-4402	-5247	-1871	-1459	-459	-40	-90	-380	-392	17	-237	78	-281	480	1304	5259	5002	4203	1762	339	
-152	-445	-900	-2639	-3266	-5233	-2218	-2467	-40	-250	-129	-504	-250	105	-104	183	-267	1600	2434	6295	4287	2547	1950	230	
-240	-327	-249	-1835	-2355	-4620	-2676	-2536	-349	-1484	-640	-578	-208	11	0	253	419	3202	2849	5070	3232	1568	348	198	
-294	-208	-366	-694	-1766	-3866	-2190	-3143	-1323	-2154	-366	-492	-304	148	227	596	1356	3881	3282	3846	1350	891	200	95	
-190	-75	-310	-121	-686	-2290	-2079	-3475	-1969	-1525	-706	-491	-341	271	468	803	1507	3862	2434	2245	672	-67	156	43	
-136	-7	-229	-118	-112	-1565	-1773	-3240	-2436	-2454	-713	-422	-163	228	431	860	1205	2637	1379	1002	218	174	-96	-40	
-7	-66	-236	-131	-127	-839	-913	-1804	-1969	-2741	-556	26	35	376	507	1011	1130	1430	776	497	207	130	-104	-85	
193	-14	-57	-41	95	-340	-427	-851	-1241	-2413	-601	-196	-156	358	315	384	1036	445	-60	471	-15	45	-89	-53	
91	64	64	-41	134	-126	-358	-658	-231	-1087	-650	-52	-60	277	315	288	209	200	-21	132	64	156	427	-30	
