-26	-77	-208	-595	-172	-21	293	-55	-106	
-98	-363	-503	-697	-365	122	578	0	-93	
-216	-674	-635	-946	-296	196	790	210	37	
-49	-718	-856	-1239	-324	262	1090	470	113	
-210	-1102	-1386	-1400	-358	248	828	764	525	
-84	-1295	-1194	-1093	-482	262	627	712	329	
-35	-140	-97	-104	-262	-144	-123	105	113	
136	241	886	247	-165	-934	-1444	-1033	-156	
368	1716	2621	1467	197	-1645	-2166	-2053	-366	
125	1950	2961	2037	337	-2226	-2397	-2685	-735	
159	1374	2406	1325	246	-2023	-2527	-2311	-835	
0	458	1190	404	263	-1108	-1098	-1377	-536	
-168	-77	141	57	63	-254	-55	-272	-200	
-391	-333	-361	-256	-54	40	383	64	24	
-208	-156	-782	-207	-62	122	846	251	48	
-71	-67	-871	-414	-200	270	513	162	-61	
-168	-188	-444	-376	-227	147	309	178	80	
-173	-243	-296	-419	-317	57	113	161	51	
-70	-313	-362	-408	-351	-199	48	129	105	
-124	-319	-264	-207	-76	-141	-21	186	80	
