-128	-128	-89	-37	-175	-570	-388	-270	-208	-103	505	97	-197	
-263	186	42	8	-14	-570	-517	-276	-124	196	1178	178	-7	
-81	203	42	48	-145	-629	-826	-546	-207	832	1859	340	40	
-4	92	0	37	16	-614	-1194	-1283	-186	384	1352	347	258	
-100	-28	-120	-16	-21	-600	-841	-873	-447	311	606	324	49	
-241	-244	-465	-135	-55	0	-333	-283	-269	147	440	32	-102	
-293	-371	-486	-64	-63	500	381	525	-62	-136	-1184	-1133	-427	
-404	-459	-619	-436	117	2058	2335	2001	213	-1413	-2874	-2311	-251	
-342	-673	-548	-510	175	1878	2514	2268	952	-2313	-2932	-2599	-319	
-142	-447	-387	-256	50	1878	2317	1859	649	-1645	-1921	-2225	-346	
34	-177	-284	-190	-70	1086	1333	738	320	-601	-636	-1191	-183	
213	-296	-244	-232	-398	308	298	41	0	-261	-35	-55	-77	
