-78	-113	-154	-127	-70	-155	-340	-184	-399	-295	-276	-229	-149	144	64	127	388	213	211	117	-93	-256	-107	105	
-178	-219	-204	-197	-140	-160	-354	-712	-413	-528	-219	-245	210	101	105	296	690	102	440	148	-139	-128	-33	9	
-176	-240	8	-267	-280	-304	-485	-888	-742	-1167	-205	-314	177	120	216	263	1490	339	839	376	-7	-81	15	98	
-121	-311	-185	-323	-523	-1088	-1533	-1605	-1398	-1442	-157	-918	129	305	416	656	1860	898	1371	384	132	31	118	131	
-199	-236	-113	-525	-939	-2448	-1813	-2470	-2112	-1805	-578	-1694	-34	265	818	1046	3106	1868	2252	1359	296	108	148	86	
-178	-318	-453	-928	-1727	-2626	-2180	-3305	-1690	-1747	-564	-1363	-7	345	1108	1114	3695	2153	3316	2796	1085	428	294	104	
-284	-353	-450	-1286	-2693	-3380	-2961	-3407	-1675	-1790	-968	-1076	-312	40	477	588	3089	2103	3997	3919	1643	225	30	-30	
-312	-899	-1002	-1928	-3450	-4726	-3505	-2807	-1267	-1399	-246	-1119	-204	-115	416	47	2719	2169	4363	3985	2940	1623	100	-30	
-807	-929	-1992	-2525	-4461	-5361	-2872	-1928	-351	-818	-267	-788	-204	-230	136	-101	1625	1249	4180	4564	3547	2226	564	8	
-807	-163	-1947	-3824	-5649	-4888	-2048	-1151	180	-220	277	-102	105	-872	-357	-765	1002	331	3232	5257	4433	2601	1238	140	
-746	-718	-2922	-5705	-6675	-5021	-885	-276	1235	253	1213	243	105	-1441	-1197	-1864	111	-27	2302	4976	4892	3351	2064	-15	
-560	-1954	-3657	-6511	-7210	-4252	-473	-63	1465	1693	2278	868	218	-1996	-1849	-2314	-227	-867	1205	4018	5516	4770	2162	630	
-655	-1818	-4002	-7422	-7477	-4533	-340	16	1996	1992	3466	885	-48	-2266	-2174	-2765	-238	-1620	922	3969	6025	4884	1773	797	
-565	-1622	-3582	-7332	-7834	-4090	-208	-49	2243	1957	4235	1858	64	-2152	-2415	-3202	-532	-1495	872	3787	6008	4167	2356	490	
-610	-1683	-3327	-6586	-7447	-4282	-444	-104	1854	1236	3781	1215	-102	-2024	-2415	-2808	-658	-1313	1221	4134	5877	3775	2858	534	
-419	-1532	-3432	-6138	-6808	-4445	-1150	-408	1200	691	3257	746	-89	-1441	-1127	-2089	-247	-51	1820	3705	6369	4232	1935	604	
-973	-1140	-2802	-5078	-5768	-4474	-2077	-1019	452	-69	2663	357	-75	-1042	-310	-1835	-207	-463	2501	4151	6074	3873	1011	534	
-958	-396	-2052	-3735	-4238	-4859	-2666	-1986	82	-226	643	129	16	-829	-48	-920	166	71	3498	4481	5811	2063	768	534	
-898	-304	-1497	-3048	-3703	-4533	-3800	-3129	-124	-760	228	-259	307	-445	248	-215	682	463	4296	4778	5286	1232	464	464	
-277	-384	-697	-1525	-3064	-3572	-3623	-3759	-1107	-1805	-308	-659	27	-216	495	374	1995	1985	4147	4250	4055	1052	478	189	
-178	-255	-387	-898	-2143	-3069	-3623	-3378	-2083	-2182	-526	-306	-61	-115	608	707	1995	2521	4014	3787	2135	498	208	184	
-57	-142	-280	-379	-999	-1857	-2534	-2367	-1500	-1935	-679	-716	-151	112	1023	944	1338	2186	2418	2251	1413	-99	154	231	
-141	-154	-211	-22	-523	-866	-2313	-1444	-844	-1848	-708	-716	64	209	972	843	539	1734	1205	946	823	207	232	168	
-134	-173	-127	370	-140	-230	-1003	-814	-961	-934	-396	-875	-28	297	448	504	968	1350	1188	-159	-73	-125	10	107	
-142	-63	109	220	0	-313	-478	-199	-407	-862	-232	-327	153	273	432	159	412	458	456	-450	-441	-365	-174	81	
-199	-43	0	199	13	-195	-91	16	24	-717	-294	-136	3	160	-61	44	79	347	70	-228	-251	-322	-347	-58	
