-98	-292	-294	-351	-220	236	-76	-53	
-258	-423	-373	-413	-158	456	91	-14	
-292	-409	-360	-376	-247	497	0	-102	
-306	-561	-697	-482	-69	1283	162	-95	
-644	-915	-1342	-392	294	1352	316	24	
-452	-1283	-1415	-269	586	1300	243	226	
-703	-1047	-1342	-248	674	828	434	258	
-7	-174	-145	-83	-21	-287	-34	-190	
516	489	738	24	-528	-1531	-918	-393	
1860	2621	1859	-97	-1892	-2166	-2412	-1035	
1518	2746	2090	49	-2066	-2397	-2915	-1450	
1518	2496	1805	41	-1674	-2426	-2153	-1007	
475	921	1094	156	-818	-1314	-774	-735	
-98	-91	74	45	-21	-280	-68	-163	
-407	-444	-325	-28	59	114	219	-116	
-171	-548	-419	-124	171	199	151	40	
-53	-1062	-1254	-207	32	203	146	40	
-526	-988	-1386	-227	24	110	-7	-82	
-391	-473	-756	-138	114	51	-9	-87	
