-49	-340	-256	49	171	70	72	38	
-7	-638	-385	-385	-14	48	0	-7	
-140	-929	-258	-239	-7	497	81	8	
-570	-1180	-697	-303	188	1178	382	218	
-1221	-1577	-1093	-207	425	1230	1076	266	
-881	-1459	-858	-324	262	1160	486	347	
-1162	-1342	-902	-489	131	489	324	184	
-299	-187	-76	-220	24	179	-96	161	
241	365	649	-159	-673	-564	-1320	-204	
1446	2460	1877	16	-1428	-2585	-2053	-339	
1878	3122	1930	287	-1921	-2802	-2742	-335	
1374	2836	1948	674	-1283	-1719	-1866	-332	
391	1583	863	526	-441	-852	-817	-136	
208	248	16	510	-110	-110	-293	-57	
-209	-208	-521	369	-55	415	-48	-8	
-200	-568	-800	82	532	692	260	123	
-289	-503	-1019	16	726	539	348	250	
-188	-635	-741	-282	533	391	154	109	
