-199	-198	-8	-49	67	-156	-257	-187	-234	-185	374	-130	-128	
-36	-27	-69	-27	-51	-195	-291	-263	-282	-131	472	105	-64	
-15	-34	-71	-71	-49	-285	-547	-448	-406	-62	537	194	-75	
25	-22	-64	84	-85	-397	-430	-492	-193	139	798	275	158	
-30	-50	-27	16	-222	-762	-282	-559	-358	319	1038	381	403	
-57	-70	-8	210	-56	-1147	-738	-1137	-275	779	1160	625	426	
-98	-163	143	286	-112	-1102	-929	-814	-97	286	671	712	710	
-169	-276	0	59	-63	-223	-187	-256	-131	-206	-28	-225	137	
-279	-367	-211	16	67	291	886	525	-110	-1094	-1026	-1061	-339	
-383	-456	-401	-309	368	1554	2317	1965	74	-1399	-1820	-2053	-749	
-454	-673	-359	-674	201	1680	3051	2090	205	-1747	-2022	-2742	-578	
-440	-417	-352	-689	209	1338	2550	1129	337	-1413	-2513	-2139	-535	
-262	-43	-210	-212	134	558	1154	495	213	-746	-1271	-1521	-298	
-199	220	-233	-182	-147	-195	207	-83	82	-28	-267	-191	-70	
281	158	16	-134	-165	-223	-541	-261	16	147	154	89	105	
76	118	109	58	-154	-200	-482	-433	-179	212	448	284	105	
85	99	245	84	-97	-452	-753	-741	-172	368	411	194	32	
76	212	541	117	-101	-333	-444	-507	-344	603	444	300	22	
29	135	230	-8	-91	-228	-360	-331	-317	253	255	219	-136	
-86	69	253	143	75	-265	-319	-428	-193	57	105	-48	-156	
