-101	-216	-451	-386	-104	-102	-103	-28	-14	
142	-306	-871	-726	-117	-69	138	68	8	
-42	-600	-1077	-624	-275	8	374	154	242	
-203	-955	-1386	-1224	-324	294	529	446	565	
-49	-1102	-1312	-1210	-234	196	566	208	363	
-259	-792	-1135	-888	-351	139	340	677	229	
-175	-35	-174	-125	-337	-144	-21	-136	-7	
-154	400	1315	371	-296	-804	-1257	-774	-339	
25	1464	3319	1841	-83	-1138	-2267	-1895	-449	
301	1788	3265	2161	115	-1906	-2628	-2886	-1092	
75	1338	2621	1592	353	-1442	-2542	-2297	-706	
58	942	903	969	263	-876	-1026	-1234	-244	
-7	50	124	-42	68	-103	-116	-102	48	
-112	-223	-347	-270	-38	65	717	365	129	
-28	-140	-425	-311	-14	335	544	194	193	
-49	-260	-900	-595	-97	352	482	275	50	
50	-133	-385	-682	-207	163	285	129	30	
-21	-313	-355	-404	-193	-69	54	63	32	
